team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PORTLAND TRAIL BLAZERS,240,40,78,10,23,22,32,7,34,23,4,3,10,34
DENVER NUGGETS,240,34,80,7,22,31,48,15,26,20,7,6,8,25
PHOENIX SUNS,240,32,89,6,27,7,9,9,36,16,8,4,14,20
LOS ANGELES LAKERS,240,38,84,8,22,13,17,9,45,26,8,7,15,16
ATLANTA HAWKS,240,37,84,8,26,15,20,8,24,26,11,5,15,14
NEW YORK KNICKS,240,44,88,11,26,12,14,12,34,27,8,7,16,19
CHICAGO BULLS,240,42,82,9,21,22,25,8,34,23,4,8,11,18
TORONTO RAPTORS,240,42,92,13,31,16,19,13,24,21,6,8,8,19
MIAMI HEAT,240,39,86,9,23,10,12,9,45,27,8,11,12,15
WASHINGTON WIZARDS,240,31,91,4,30,9,13,11,34,19,5,2,10,12
