team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,42,92,9,23,11,14,10,35,22,4,3,10,18
BOSTON CELTICS,240,41,90,4,20,19,25,13,38,20,8,2,8,14
INDIANA PACERS,240,37,90,9,28,18,21,12,34,23,10,4,10,24
CHARLOTTE HORNETS,240,38,79,13,31,19,23,7,34,20,4,9,11,19
WASHINGTON WIZARDS,240,32,81,3,20,16,24,10,37,14,2,5,16,19
CLEVELAND CAVALIERS,240,42,90,12,27,12,16,8,39,24,9,5,9,19
BROOKLYN NETS,265,46,91,13,22,16,21,8,26,32,5,4,13,21
DENVER NUGGETS,265,46,96,6,26,22,25,17,33,28,8,6,15,20
ATLANTA HAWKS,240,37,68,13,28,19,26,3,36,31,6,8,10,18
LOS ANGELES LAKERS,240,29,85,5,27,14,20,17,29,19,5,1,10,16
UTAH JAZZ,240,32,75,5,19,19,29,12,33,21,6,5,17,18
MEMPHIS GRIZZLIES,240,37,81,4,18,16,19,9,33,14,8,5,11,22
MINNESOTA TIMBERWOLVES,240,42,87,7,22,10,14,15,28,25,9,5,25,22
MILWAUKEE BUCKS,240,43,83,14,24,16,20,9,28,24,13,6,18,19
PHOENIX SUNS,240,35,78,5,14,27,39,8,49,18,8,5,18,16
ORLANDO MAGIC,240,35,101,7,27,7,14,15,35,20,12,3,14,31
MIAMI HEAT,240,39,88,5,16,29,36,16,39,24,7,5,16,19
PHILADELPHIA 76ERS,240,36,95,9,31,21,27,15,29,21,12,5,8,27
PORTLAND TRAIL BLAZERS,240,39,83,11,27,26,35,10,26,14,5,3,11,35
TORONTO RAPTORS,240,34,67,6,12,43,54,9,29,12,5,4,13,30
