team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,35,87,9,21,16,24,11,39,19,4,5,12,21
CHICAGO BULLS,240,35,86,6,15,20,32,10,38,26,9,9,8,20
BOSTON CELTICS,240,44,93,11,36,12,17,16,33,27,16,3,19,22
HOUSTON ROCKETS,240,36,85,11,32,12,23,14,32,23,10,6,22,20
OKLAHOMA CITY THUNDER,240,41,81,10,24,22,31,12,32,22,7,6,19,28
MEMPHIS GRIZZLIES,240,37,84,12,17,36,39,12,22,23,11,4,10,22
DALLAS MAVERICKS,240,30,76,7,24,25,30,6,33,16,12,2,19,23
PHILADELPHIA 76ERS,240,34,76,5,22,13,20,8,38,16,9,4,27,29
LOS ANGELES LAKERS,240,37,77,9,20,18,20,7,30,12,5,2,16,23
PHOENIX SUNS,240,45,93,11,30,19,25,18,32,23,13,6,10,16
PORTLAND TRAIL BLAZERS,240,31,75,7,19,11,13,4,35,15,4,3,12,18
SAN ANTONIO SPURS,240,38,89,7,23,10,13,12,35,29,9,10,6,13
