team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,35,83,6,24,10,12,9,30,18,8,9,9,21
BROOKLYN NETS,240,33,81,6,14,25,31,16,31,19,4,3,11,15
GOLDEN STATE WARRIORS,240,43,83,13,24,6,8,6,33,28,3,5,18,24
DENVER NUGGETS,240,43,90,9,27,21,27,14,30,27,11,2,8,16
CLEVELAND CAVALIERS,240,39,95,4,21,11,12,17,22,24,10,2,16,21
LOS ANGELES LAKERS,240,40,69,13,25,20,27,7,34,32,11,5,22,13
NEW ORLEANS HORNETS,240,33,82,4,23,17,22,12,35,14,6,4,13,23
NEW YORK KNICKS,240,35,81,11,30,19,25,10,35,24,6,5,9,21
OKLAHOMA CITY THUNDER,240,32,71,6,23,17,22,6,37,20,6,3,15,19
PORTLAND TRAIL BLAZERS,240,31,86,6,21,15,18,12,30,17,3,6,12,18
MINNESOTA TIMBERWOLVES,240,33,89,4,16,18,23,14,24,23,12,5,13,10
SAN ANTONIO SPURS,240,45,80,8,21,8,11,7,36,31,9,13,17,19
MILWAUKEE BUCKS,240,40,77,8,19,19,23,8,24,29,5,6,12,25
TORONTO RAPTORS,240,36,85,3,13,21,27,17,23,25,7,2,15,21
