team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CLEVELAND CAVALIERS,240,29,79,10,22,14,20,14,31,14,4,3,11,22
BROOKLYN NETS,240,31,71,8,24,19,22,6,27,24,4,4,9,18
ATLANTA HAWKS,240,32,86,8,28,12,14,17,26,21,9,8,15,20
CHICAGO BULLS,240,33,81,6,17,19,24,20,32,19,12,12,13,15
NEW ORLEANS PELICANS,240,31,68,3,9,17,26,5,28,15,9,6,17,18
INDIANA PACERS,240,39,83,7,22,14,19,14,31,20,5,9,15,23
OKLAHOMA CITY THUNDER,240,40,83,8,24,27,28,10,35,22,7,8,22,29
MINNESOTA TIMBERWOLVES,240,43,94,7,20,18,29,9,31,25,12,1,15,24
MIAMI HEAT,240,40,74,6,16,24,31,7,33,23,9,2,15,16
ORLANDO MAGIC,240,33,80,8,26,20,24,12,29,16,6,3,15,24
MILWAUKEE BUCKS,240,37,68,10,21,16,20,5,31,18,3,4,25,20
PHOENIX SUNS,240,41,85,12,27,22,25,9,27,20,13,2,11,21
PHILADELPHIA 76ERS,240,40,88,4,14,17,24,6,37,18,12,3,14,25
PORTLAND TRAIL BLAZERS,240,36,99,3,22,24,30,19,40,26,7,9,18,20
CHARLOTTE BOBCATS,240,45,83,9,15,14,23,6,32,22,5,4,11,19
SACRAMENTO KINGS,240,42,92,6,17,13,19,17,35,17,8,5,14,23
LOS ANGELES CLIPPERS,240,37,79,3,15,15,21,7,26,21,6,3,15,24
SAN ANTONIO SPURS,240,50,90,4,18,12,16,11,31,34,5,4,12,20
