team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PORTLAND TRAIL BLAZERS,240,38,82,12,32,21,26,12,25,26,5,3,21,21
DENVER NUGGETS,240,43,81,8,22,24,27,9,30,30,15,7,21,22
SACRAMENTO KINGS,240,39,100,8,25,14,17,15,30,24,10,10,15,21
HOUSTON ROCKETS,240,45,83,13,27,18,24,6,40,28,11,12,17,17
SAN ANTONIO SPURS,240,33,89,6,18,14,19,10,36,25,11,8,8,23
LOS ANGELES LAKERS,240,31,85,9,27,20,31,16,42,18,6,7,14,14
CHICAGO BULLS,240,29,82,11,26,24,31,11,34,16,7,1,14,30
MIAMI HEAT,240,36,70,6,17,27,41,4,40,23,7,8,15,27
DALLAS MAVERICKS,240,45,86,9,21,8,8,9,32,27,6,6,8,16
NEW ORLEANS HORNETS,240,33,87,9,22,14,18,20,27,22,4,2,10,12
INDIANA PACERS,240,28,65,8,28,16,26,13,32,20,6,3,26,19
NEW YORK KNICKS,240,35,82,11,31,9,11,8,24,15,11,2,11,24
CLEVELAND CAVALIERS,240,31,85,5,16,10,15,13,36,22,5,6,19,12
PHILADELPHIA 76ERS,240,38,86,8,21,7,11,10,29,27,9,9,12,12
BROOKLYN NETS,240,34,84,8,30,11,19,10,28,23,8,5,7,20
TORONTO RAPTORS,240,36,82,6,15,15,21,10,38,19,4,1,12,19
