team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BROOKLYN NETS,240,40,87,13,34,17,26,13,30,29,8,1,14,24
ATLANTA HAWKS,240,37,80,11,28,20,26,8,38,21,6,3,18,25
UTAH JAZZ,240,28,77,12,35,20,23,8,37,19,5,8,14,26
CHARLOTTE HORNETS,240,32,78,9,27,26,34,8,38,17,8,2,12,19
MEMPHIS GRIZZLIES,240,30,77,7,24,11,14,8,28,17,8,5,14,28
DENVER NUGGETS,240,27,70,7,22,26,32,12,35,15,8,3,14,18
CLEVELAND CAVALIERS,240,37,85,7,34,14,19,9,37,19,12,5,11,15
INDIANA PACERS,240,39,85,10,21,9,12,6,38,16,5,4,14,18
GOLDEN STATE WARRIORS,240,44,79,5,15,15,18,10,33,28,7,3,11,13
MILWAUKEE BUCKS,240,36,85,11,28,11,12,8,25,21,9,6,12,20
NEW YORK KNICKS,240,45,83,12,24,6,9,9,27,25,6,6,16,17
MINNESOTA TIMBERWOLVES,240,49,95,10,27,10,16,16,27,33,12,4,12,12
PORTLAND TRAIL BLAZERS,240,45,101,12,42,11,14,14,25,24,13,6,11,22
NEW ORLEANS PELICANS,240,45,82,7,19,22,23,9,34,26,7,6,18,16
HOUSTON ROCKETS,240,39,94,15,47,19,22,14,39,18,11,4,11,14
PHOENIX SUNS,240,37,80,14,33,7,9,4,34,27,5,3,19,19
ORLANDO MAGIC,240,41,80,12,29,25,31,12,28,32,7,3,15,21
WASHINGTON WIZARDS,240,54,95,4,16,13,19,14,27,26,9,6,11,22
