team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PORTLAND TRAIL BLAZERS,240,41,97,5,18,15,20,24,29,27,7,4,15,20
GOLDEN STATE WARRIORS,240,40,83,10,22,19,21,7,25,31,7,8,12,16
MIAMI HEAT,240,35,79,9,25,17,20,9,35,25,9,4,9,17
LOS ANGELES LAKERS,240,32,79,6,19,10,15,9,34,22,4,1,12,23
CHICAGO BULLS,240,40,91,4,14,11,20,17,31,15,14,5,21,20
NEW YORK KNICKS,240,42,79,12,22,7,12,6,38,25,12,10,24,16
DENVER NUGGETS,240,37,70,8,17,24,30,5,30,15,5,1,17,25
OKLAHOMA CITY THUNDER,240,40,81,6,17,28,35,9,27,22,10,8,8,21
BOSTON CELTICS,240,28,81,4,17,18,21,6,33,15,8,3,11,24
ORLANDO MAGIC,240,28,71,11,29,19,29,8,37,16,6,9,16,18
