team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SACRAMENTO KINGS,240,31,73,1,12,23,31,9,42,20,6,4,17,23
BOSTON CELTICS,240,36,90,3,17,19,28,13,32,25,13,10,8,23
WASHINGTON WIZARDS,240,34,71,12,20,16,19,4,22,22,9,3,17,26
CHARLOTTE BOBCATS,240,41,74,6,15,19,27,9,25,25,8,8,17,20
UTAH JAZZ,240,37,86,10,18,22,26,12,37,27,6,5,15,24
INDIANA PACERS,240,43,85,17,36,19,29,6,33,26,9,10,12,20
MIAMI HEAT,240,30,61,2,14,25,28,9,37,16,5,6,18,22
MILWAUKEE BUCKS,240,28,89,3,20,15,21,17,19,9,8,0,10,22
DETROIT PISTONS,240,43,88,7,16,17,19,11,22,27,9,1,8,25
NEW JERSEY NETS,240,40,70,8,20,30,36,8,32,30,6,4,13,16
LOS ANGELES LAKERS,240,29,74,2,15,15,24,12,27,7,8,3,18,18
OKLAHOMA CITY THUNDER,240,37,77,2,18,15,18,8,34,15,12,4,12,17
MINNESOTA TIMBERWOLVES,240,39,88,5,16,14,19,10,29,14,10,3,11,21
ORLANDO MAGIC,240,36,79,13,36,21,26,15,36,24,8,6,17,20
ATLANTA HAWKS,240,37,78,7,18,17,21,14,25,18,5,3,19,17
PHILADELPHIA 76ERS,240,41,83,6,16,17,25,15,25,25,15,3,15,18
NEW YORK KNICKS,240,36,94,12,30,12,16,15,23,20,8,3,15,21
PHOENIX SUNS,240,50,90,8,21,24,32,17,39,30,7,2,13,16
CLEVELAND CAVALIERS,240,38,80,6,20,15,23,10,30,24,12,2,15,19
SAN ANTONIO SPURS,240,37,78,6,17,22,27,9,33,26,5,5,15,19
DENVER NUGGETS,240,35,85,6,23,21,31,7,31,23,11,1,7,19
TORONTO RAPTORS,240,40,85,4,15,12,16,15,43,25,5,6,18,23
