team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,33,75,2,15,23,32,9,36,15,6,7,14,20
DETROIT PISTONS,240,40,88,8,21,14,21,9,35,24,10,5,9,23
PHILADELPHIA 76ERS,240,32,82,14,41,13,26,9,36,21,5,7,16,27
MEMPHIS GRIZZLIES,240,33,86,2,17,28,35,12,41,18,8,5,13,25
NEW YORK KNICKS,240,48,98,7,25,11,16,18,35,22,6,6,10,18
MIAMI HEAT,240,38,89,11,25,16,27,16,30,21,8,4,10,16
SAN ANTONIO SPURS,240,39,74,11,24,16,19,3,32,21,8,3,11,20
MINNESOTA TIMBERWOLVES,240,36,82,7,20,12,18,11,30,19,4,2,15,20
PHOENIX SUNS,240,39,84,6,18,21,25,12,29,14,5,0,17,28
UTAH JAZZ,240,36,73,12,27,28,32,6,29,23,7,7,15,23
ORLANDO MAGIC,240,43,83,12,26,26,36,8,35,24,7,12,11,18
WASHINGTON WIZARDS,240,44,93,11,23,17,24,10,32,20,5,2,10,25
