team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,33,76,6,24,14,18,10,25,16,9,3,13,22
DETROIT PISTONS,240,35,70,7,19,15,21,10,27,19,6,4,15,20
BOSTON CELTICS,240,32,99,7,20,14,20,18,25,16,10,3,12,19
HOUSTON ROCKETS,240,41,72,9,21,18,24,6,42,22,7,10,19,20
ATLANTA HAWKS,240,33,74,11,24,11,15,13,26,22,8,3,24,21
MIAMI HEAT,240,41,81,10,21,12,19,10,27,26,13,4,15,17
PHOENIX SUNS,240,37,79,10,29,20,28,6,25,23,9,3,16,23
SACRAMENTO KINGS,240,39,83,8,22,21,28,15,33,21,8,3,20,24
MINNESOTA TIMBERWOLVES,240,37,85,10,28,16,24,12,30,22,6,4,13,17
WASHINGTON WIZARDS,240,41,85,7,15,15,15,7,34,31,10,5,11,24
