team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MIAMI HEAT,240,42,94,17,38,14,17,10,44,23,9,10,11,17
ATLANTA HAWKS,240,33,90,9,30,11,17,10,38,20,5,6,15,16
PHILADELPHIA 76ERS,240,44,89,13,30,14,19,7,37,32,11,3,13,17
DETROIT PISTONS,240,39,88,16,36,14,23,9,33,30,4,5,17,19
SAN ANTONIO SPURS,265,42,97,9,23,19,27,15,31,25,7,5,10,20
LOS ANGELES LAKERS,265,47,86,13,24,15,18,4,40,32,4,3,13,22
MEMPHIS GRIZZLIES,240,37,93,10,32,11,15,11,26,19,9,1,21,19
NEW ORLEANS PELICANS,240,45,86,16,36,17,19,11,37,32,14,7,16,19
DALLAS MAVERICKS,240,39,89,10,30,12,17,11,32,24,3,1,11,23
ORLANDO MAGIC,240,39,86,8,29,19,27,12,35,27,4,10,13,15
BOSTON CELTICS,240,25,75,3,22,25,28,8,35,10,7,3,16,16
TORONTO RAPTORS,240,40,92,10,33,6,8,12,36,23,10,6,10,25
