position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Westbrook, Russell^",75.25,"$10,700",OKLAHOMA CITY THUNDER,v nor, 122-116,36:41,   23pt 17rb 16as 2st 4to 1trey 9-19fg 4-8ft
PG/SG,"Holiday, Jrue^",63.25,"$8,200",NEW ORLEANS PELICANS,@ okc, 116-122,36:36,   22pt 9rb 13as 4st 1bl 5to 3trey 9-19fg 1-1ft
PG,"Rondo, Rajon^",50,"$5,200",LOS ANGELES LAKERS,v min, 105-120,37:13,   15pt 6rb 13as 1st 2bl 2to 3trey 6-11fg
PG/SG,"Curry, Stephen^",49,"$9,100",GOLDEN STATE WARRIORS,@ was, 126-118,35:28,   38pt 4rb 3as 1bl 3to 2trey 14-24fg 8-8ft
PG/SG,"Satoransky, Tomas^",46.75,"$5,400",WASHINGTON WIZARDS,v gsw, 118-126,38:58,   20pt 3rb 10as 3st 2to 3trey 8-13fg 1-2ft
PG,"Payton, Elfrid^",45,"$5,400",NEW ORLEANS PELICANS,@ okc, 116-122,29:25,   15pt 4rb 12as 1st 2bl 2to 1trey 5-12fg 4-4ft
SG,"Beal, Bradley^",41.5,"$8,900",WASHINGTON WIZARDS,v gsw, 118-126,39:49,   22pt 10rb 3as 1st 3to 1trey 8-22fg 5-8ft
PG,"Lillard, Damian^",39.75,"$8,400",PORTLAND TRAIL BLAZERS,@ pho, 120-106,29:31,   24pt 3rb 3as 2st 2bl 2to 1trey 7-16fg 9-9ft
PG/SG,"Curry, Seth",36,"$3,200",PORTLAND TRAIL BLAZERS,@ pho, 120-106,29:54,   17pt 6rb 3as 2st 1bl 1to 3trey 7-13fg
PG/SG,"Bayless, Jerryd",33.5,"$3,600",MINNESOTA TIMBERWOLVES,@ lal, 120-105,29:58,   16pt 2rb 8as 1st 1to 3trey 6-15fg 1-1ft
PG/SG,"Booker, Devin^",31.75,"$7,500",PHOENIX SUNS,v por, 106-120,30:15,   27pt 1rb 3as 1st 8to 2trey 9-20fg 7-8ft
PG/SG,"McCollum, C.J.^",30.25,"$6,300",PORTLAND TRAIL BLAZERS,@ pho, 120-106,25:22,   20pt 3rb 2as 1st 1to 4trey 8-15fg
PG,"Okobo, Elie",25.75,"$3,100",PHOENIX SUNS,v por, 106-120,27:46,   12pt 7rb 1as 1st 3trey 4-9fg 1-1ft
PG/SG,"Schroder, Dennis",20.75,"$4,800",OKLAHOMA CITY THUNDER,v nor, 122-116,22:28,   10pt 1rb 5as 1st 2to 2trey 4-8fg
PG,"Livingston, Shaun",18.5,"$3,000",GOLDEN STATE WARRIORS,@ was, 126-118,15:43,   7pt 4rb 5as 2to 2-3fg 3-3ft
SG,"Thompson, Klay^",18.25,"$6,400",GOLDEN STATE WARRIORS,@ was, 126-118,35:42,   9pt 1rb 5as 1trey 4-13fg
PG/SG,"Randle, Chasson",16.5,"$3,100",WASHINGTON WIZARDS,v gsw, 118-126,15:05,   11pt 2rb 1as 3trey 4-6fg
PG/SG,"Crawford, Jamal",16.25,"$3,500",PHOENIX SUNS,v por, 106-120,23:15,   7pt 1rb 4as 1st 1to 1trey 3-6fg
PG/SG,"Stephenson, Lance",16,"$4,100",LOS ANGELES LAKERS,v min, 105-120,22:04,   7pt 4rb 2as 1st 3to 1trey 3-5fg
PG/SG,"Jackson, Frank",15.25,"$3,200",NEW ORLEANS PELICANS,@ okc, 116-122,25:34,   12pt 1rb 2as 2to 6-13fg
