position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Westbrook, Russell^",69.75,"$11,300",OKLAHOMA CITY THUNDER,@ den, 124-127,39:16,   20pt 9rb 21as 2st 1bl 3to 2trey 7-18fg 4-4ft
PG/SG,"Harden, James^",56,"$11,400",HOUSTON ROCKETS,@ sas, 102-91,36:48,   28pt 2rb 11as 1st 2bl 2to 5trey 10-20fg 3-3ft
SG,"Beal, Bradley^",52,"$8,400",WASHINGTON WIZARDS,v tor, 122-119,38:09,   27pt 6rb 6as 3st 1bl 2to 3trey 9-20fg 6-6ft
PG,"Lowry, Kyle^",51.75,"$7,300",TORONTO RAPTORS,@ was, 119-122,35:24,   29pt 5rb 5as 3st 1bl 2to 4trey 10-19fg 5-7ft
PG/SG,"Murray, Jamal^",46.25,"$5,700",DENVER NUGGETS,v okc, 127-124,34:21,   33pt 3rb 5as 1to 5trey 14-23fg
SG,"Butler, Jimmy^",43.5,"$8,600",MINNESOTA TIMBERWOLVES,v mil, 108-89,39:35,   28pt 4rb 6as 1st 3to 2trey 8-15fg 10-11ft
PG/SG,"Harrison, Andrew^",36.5,"$4,300",MEMPHIS GRIZZLIES,@ det, 102-104,33:48,   18pt 4rb 8as 1st 2to 1trey 6-14fg 5-5ft
SG,"Harris, Gary^",36.25,"$5,800",DENVER NUGGETS,v okc, 127-124,37:59,   25pt 3rb 3as 1st 3to 5trey 9-16fg 2-2ft
PG,"Smith, Ishmael^",28.25,"$5,500",DETROIT PISTONS,v mem, 104-102,28:39,   12pt 5rb 4as 2st 5-8fg 2-3ft
PG,"Teague, Jeff^",25.25,"$5,500",MINNESOTA TIMBERWOLVES,v mil, 108-89,28:05,   9pt 1rb 8as 1st 1bl 3to 1trey 4-7fg
PG,"Murray, Dejounte^",22.25,"$5,900",SAN ANTONIO SPURS,v hou, 91-102,24:07,   6pt 11rb 3as 4to 3-6fg 0-2ft
PG/SG,"Satoransky, Tomas^",22.25,"$4,600",WASHINGTON WIZARDS,v tor, 122-119,27:30,   10pt 3rb 4as 2st 3to 4-9fg 2-2ft
PG/SG,"Paul, Chris^",19.25,"$9,100",HOUSTON ROCKETS,@ sas, 102-91,30:23,   10pt 3rb 2as 2st 3to 5-14fg 0-1ft
PG/SG,"Forbes, Bryn",17.5,"$3,900",SAN ANTONIO SPURS,v hou, 91-102,18:15,   11pt 2rb 1as 1st 1trey 3-6fg 4-4ft
PG,"Buycks, Dwight",17.25,"$3,400",DETROIT PISTONS,v mem, 104-102,19:15,   13pt 1rb 1as 1st 1to 4-8fg 5-6ft
PG/SG,"Jones, Tyus",15.75,"$4,000",MINNESOTA TIMBERWOLVES,v mil, 108-89,17:16,   4pt 3rb 4as 1st 2-4fg
PG/SG,"Kilpatrick, Sean",15.25,"$3,300",MILWAUKEE BUCKS,@ min, 89-108,18:00,   10pt 1rb 1as 1bl 1trey 4-8fg 1-1ft
PG,"Mudiay, Emmanuel",14.25,"$3,700",DENVER NUGGETS,v okc, 127-124,13:39,   7pt 3rb 3as 2to 3-8fg 1-1ft
SG,"Crawford, Jamal",13.5,"$3,700",MINNESOTA TIMBERWOLVES,v mil, 108-89,17:19,   8pt 2rb 2as 1to 1trey 3-5fg 1-1ft
PG/SG,"Selden, Wayne^",13,"$4,000",MEMPHIS GRIZZLIES,@ det, 102-104,31:02,   7pt 2rb 3as 3to 1trey 2-9fg 2-2ft
SG,"Brown, Sterling",12.75,"$3,700",MILWAUKEE BUCKS,@ min, 89-108,23:44,   7pt 3rb 1st 1to 1trey 3-6fg
PG,"Frazier, Tim",12.5,"$3,900",WASHINGTON WIZARDS,v tor, 122-119,16:48,   3pt 5as 1st 1to 1trey 1-2fg
SG,"Meeks, Jodie",12.25,"$3,000",WASHINGTON WIZARDS,v tor, 122-119,9:17,   10pt 1rb 2trey 3-5fg 2-2ft
SG,"Kennard, Luke",11.75,"$4,000",DETROIT PISTONS,v mem, 104-102,20:59,   4pt 1rb 2as 1st 1bl 1to 1-3fg 2-3ft
