position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
SG,"Harden, James^",48.25,"$10,200",HOUSTON ROCKETS,v lac, 115-109,35,   32pt 3rb 7as 1st 1bl 7to 3trey 7-17fg 15-15ft
PG,"Rose, Derrick^",41.25,"$7,500",CHICAGO BULLS,@ cle, 91-106,37,   14pt 7rb 10as 1bl 2to 2trey 6-20fg 0-0ft
SG,"Crawford, Jamal",35.25,"$4,500",LOS ANGELES CLIPPERS,@ hou, 109-115,36,   19pt 5rb 5as 1st 1trey 6-22fg 6-7ft
SG,"Shumpert, Iman^",33.25,"$4,700",CLEVELAND CAVALIERS,v chi, 106-91,29,   15pt 7rb 1as 3st 4trey 5-11fg 1-2ft
PG,"Irving, Kyrie^",28.5,"$8,800",CLEVELAND CAVALIERS,v chi, 106-91,34,   21pt 3as 2st 3to 1trey 5-9fg 10-12ft
SG,"Butler, Jimmy^",28,"$8,700",CHICAGO BULLS,@ cle, 91-106,35,   18pt 2rb 1as 2st 1bl 2to 2trey 5-14fg 6-7ft
SG,"Dellavedova, Matthew",23.75,"$2,300",CLEVELAND CAVALIERS,v chi, 106-91,36,   9pt 1rb 9as 2to 2trey 3-8fg 1-2ft
SG,"Jones, James",22,"$2,300",CLEVELAND CAVALIERS,v chi, 106-91,22,   17pt 2rb 5trey 6-10fg 0-0ft
SG,"Terry, Jason^",16.75,"$3,700",HOUSTON ROCKETS,v lac, 115-109,28,   10pt 3rb 1as 1st 1to 3-6fg 4-5ft
SG,"Brewer, Corey",16.5,"$4,300",HOUSTON ROCKETS,v lac, 115-109,30,   11pt 2rb 1as 1st 1to 4-11fg 3-6ft
SG,"Redick, J.J.^",15,"$5,000",LOS ANGELES CLIPPERS,@ hou, 109-115,46,   12pt 2as 2to 2trey 3-10fg 4-4ft
PG,"Hinrich, Kirk",14.25,"$2,100",CHICAGO BULLS,@ cle, 91-106,12,   8pt 3rb 1as 2trey 3-3fg 0-0ft
PG,"Brooks, Aaron",13.75,"$2,300",CHICAGO BULLS,@ cle, 91-106,20,   4pt 3rb 3as 1st 1to 1-8fg 2-2ft
PG,"Rivers, Austin^",13,"$2,200",LOS ANGELES CLIPPERS,@ hou, 109-115,25,   10pt 2as 1to 1trey 4-9fg 1-2ft
PG,"Hudson, Lester",11.5,"$2,000",LOS ANGELES CLIPPERS,@ hou, 109-115,11,   5pt 2as 1st 1bl 2to 1trey 2-3fg 0-0ft
PG,"Prigioni, Pablo",11,"$2,500",HOUSTON ROCKETS,v lac, 115-109,20,   5pt 4as 1to 1trey 1-4fg 2-2ft
SG,"Harris, Joe",0,"$2,100",CLEVELAND CAVALIERS,v chi, 106-91,2,   0pt 0-1fg 0-0ft
SG,"Moore, E'Twaun",0,"$2,000",CHICAGO BULLS,@ cle, 91-106,2,   0pt 0-2fg 0-0ft
SG,"Jones, Dahntay",0,"$2,000",LOS ANGELES CLIPPERS,@ hou, 109-115,0,   0pt 0-0fg 0-0ft
PF,"Griffin, Blake^",62.75,"$10,300",LOS ANGELES CLIPPERS,@ hou, 109-115,41,   34pt 15rb 4as 1st 1bl 3to 13-23fg 8-11ft
SF,"James, LeBron^",55.5,"$11,200",CLEVELAND CAVALIERS,v chi, 106-91,34,   33pt 8rb 5as 2st 1bl 2to 13-29fg 7-9ft
SF,"Ariza, Trevor^",37.75,"$5,600",HOUSTON ROCKETS,v lac, 115-109,45,   15pt 13rb 2as 1st 1to 1trey 4-12fg 6-7ft
PF,"Jones, Terrence^",28.5,"$5,000",HOUSTON ROCKETS,v lac, 115-109,27,   10pt 8rb 1as 1st 3bl 2to 4-10fg 2-2ft
SF,"Barnes, Matt^",24.5,"$4,400",LOS ANGELES CLIPPERS,@ hou, 109-115,34,   6pt 6rb 5as 2st 1to 2-7fg 2-2ft
PF,"Thompson, Tristan^",21.5,"$5,200",CLEVELAND CAVALIERS,v chi, 106-91,35,   5pt 12rb 1as 2-5fg 1-2ft
SF,"Smith, Josh",21,"$6,500",HOUSTON ROCKETS,v lac, 115-109,17,   8pt 6rb 1as 2bl 3-9fg 2-6ft
PF,"Gasol, Pau^",18.5,"$8,400",CHICAGO BULLS,@ cle, 91-106,29,   11pt 4rb 2st 3to 3-8fg 5-6ft
PF,"Gibson, Taj",15.5,"$4,000",CHICAGO BULLS,@ cle, 91-106,21,   11pt 2rb 1bl 5-5fg 1-2ft
