position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Westbrook, Russell^",51.75,"$11,000",OKLAHOMA CITY THUNDER,v sas, 111-97,37:33,   14pt 7rb 15as 3st 3to 1trey 5-18fg 3-4ft
PG,"Schroder, Dennis",39.25,"$4,400",ATLANTA HAWKS,v cle, 99-100,25:46,   21pt 3rb 6as 2st 1bl 2to 1trey 10-18fg
PG,"Irving, Kyrie^",37,"$8,300",CLEVELAND CAVALIERS,@ atl, 100-99,42:20,   21pt 2rb 8as 1bl 2to 1trey 8-16fg 4-5ft
PG,"Parker, Tony^",28.5,"$5,000",SAN ANTONIO SPURS,@ okc, 97-111,32:19,   22pt 3as 1st 1bl 4to 10-16fg 2-2ft
SG,"Waiters, Dion",28.25,"$3,500",OKLAHOMA CITY THUNDER,v sas, 111-97,29:20,   17pt 3rb 3as 1st 2trey 7-11fg 1-2ft
SG,"Shumpert, Iman",18.25,"$2,200",CLEVELAND CAVALIERS,@ atl, 100-99,18:29,   10pt 3rb 2st 1to 2trey 3-6fg 2-2ft
SG,"Ginobili, Manu",15,"$3,800",SAN ANTONIO SPURS,@ okc, 97-111,21:30,   9pt 2rb 1as 1st 1to 1trey 3-5fg 2-2ft
SG,"Green, Danny^",11.75,"$4,200",SAN ANTONIO SPURS,@ okc, 97-111,27:42,   0pt 5rb 1as 2st 0-3fg
PG,"Teague, Jeff^",11.5,"$6,400",ATLANTA HAWKS,v cle, 99-100,22:00,   5pt 2rb 2as 1st 3to 1trey 2-5fg
PG,"Mills, Patty",11,"$3,000",SAN ANTONIO SPURS,@ okc, 97-111,15:41,   4pt 2rb 3as 2-4fg
SG,"Smith, J.R.^",11,"$5,400",CLEVELAND CAVALIERS,@ atl, 100-99,35:31,   3pt 2rb 1st 2bl 2to 1trey 1-4fg
SG,"Korver, Kyle",10.5,"$4,500",ATLANTA HAWKS,v cle, 99-100,24:36,   2pt 4rb 1as 1st 1-4fg
SG,"Roberson, Andre^",8,"$2,400",OKLAHOMA CITY THUNDER,v sas, 111-97,20:16,   0pt 4rb 1as 1st 1to 0-2fg
PG,"Foye, Randy",5.5,"$2,000",OKLAHOMA CITY THUNDER,v sas, 111-97,9:25,   5pt 1trey 2-3fg
PG,"Dellavedova, Matthew",3.5,"$2,500",CLEVELAND CAVALIERS,@ atl, 100-99,15:28,   2pt 1as 1-2fg
SG,"Martin, Kevin",0,"$2,000",SAN ANTONIO SPURS,@ okc, 97-111,00:44,   0pt
PG,"Miller, Andre",0,"$2,000",SAN ANTONIO SPURS,@ okc, 97-111,DNP,   0pt
SG,"Hardaway Jr., Tim",0,"$2,000",ATLANTA HAWKS,v cle, 99-100,DNP,   0pt
SG,"Jones, James",0,"$2,000",CLEVELAND CAVALIERS,@ atl, 100-99,DNP,   0pt
SG,"Morrow, Anthony",0,"$2,000",OKLAHOMA CITY THUNDER,v sas, 111-97,DNP,   0pt
PG,"Williams, Maurice",0,"$2,000",CLEVELAND CAVALIERS,@ atl, 100-99,DNP,   0pt
SG,"Patterson, Lamar",0,"$2,000",ATLANTA HAWKS,v cle, 99-100,DNP,   0pt
PG,"Hinrich, Kirk",0,"$2,000",ATLANTA HAWKS,v cle, 99-100,DNP,   0pt
SG,"Jones, Dahntay",0,"$2,000",CLEVELAND CAVALIERS,@ atl, 100-99,DNP,   0pt
SG,"McRae, Jordan",0,"$2,000",CLEVELAND CAVALIERS,@ atl, 100-99,NA,   0pt
PG,"Payne, Cameron",-1,"$2,000",OKLAHOMA CITY THUNDER,v sas, 111-97,4:03,   0pt 2to
SF,"Durant, Kevin^",54.25,"$9,300",OKLAHOMA CITY THUNDER,v sas, 111-97,43:23,   41pt 5rb 4as 1st 5to 3trey 14-25fg 10-13ft
PF,"Love, Kevin^",53.75,"$8,200",CLEVELAND CAVALIERS,@ atl, 100-99,37:16,   27pt 13rb 4as 2to 8trey 9-25fg 1-1ft
SF,"James, LeBron^",52,"$11,100",CLEVELAND CAVALIERS,@ atl, 100-99,37:52,   21pt 10rb 9as 2st 1bl 6to 1trey 10-23fg 0-3ft
