position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Westbrook, Russell^",68,"$11,000",OKLAHOMA CITY THUNDER,@ bos, 129-134,37:06,   22pt 12rb 16as 2st 4to 1trey 8-19fg 5-8ft
PG,"Conley, Mike^",54,"$7,700",MEMPHIS GRIZZLIES,@ nyk, 96-84,34:07,   25pt 8rb 7as 3st 1bl 1to 2trey 9-17fg 5-5ft
PG,"Irving, Kyrie^",53.5,"$9,200",BOSTON CELTICS,v okc, 134-129,36:49,   30pt 4rb 11as 1bl 4to 1trey 14-19fg 1-1ft
PG/SG,"Smart, Marcus^",39.5,"$4,800",BOSTON CELTICS,v okc, 134-129,27:56,   18pt 4rb 7as 2st 4trey 6-11fg 2-2ft
PG/SG,"Gilgeous-Alexander, Shai^",35.25,"$4,100",LOS ANGELES CLIPPERS,@ tor, 103-121,26:11,   19pt 5rb 3as 1st 2bl 1to 9-15fg 1-2ft
PG/SG,"Schroder, Dennis",32,"$4,700",OKLAHOMA CITY THUNDER,@ bos, 129-134,23:04,   16pt 6rb 3as 2st 2to 2trey 5-13fg 4-4ft
PG/SG,"VanVleet, Fred^",31.25,"$4,200",TORONTO RAPTORS,v lac, 121-103,26:00,   9pt 5rb 7as 3st 2to 1trey 4-10fg
PG/SG,"Wright, Delon",26.25,"$3,800",TORONTO RAPTORS,v lac, 121-103,20:09,   14pt 3rb 3as 2st 5-10fg 4-5ft
PG,"Smith Jr., Dennis^",23.75,"$5,100",NEW YORK KNICKS,v mem, 84-96,25:30,   8pt 3rb 6as 1st 1bl 2to 3-9fg 2-4ft
PG/SG,"Williams, Louis",23.5,"$7,000",LOS ANGELES CLIPPERS,@ tor, 103-121,21:16,   18pt 2rb 3as 3to 5-11fg 8-9ft
PG/SG,"Rozier, Terry",22.75,"$5,500",BOSTON CELTICS,v okc, 134-129,16:56,   10pt 7rb 2as 1bl 3to 1trey 4-8fg 1-2ft
PG/SG,"Beverley, Patrick^",17.5,"$5,400",LOS ANGELES CLIPPERS,@ tor, 103-121,29:38,   12pt 2rb 2as 1to 1trey 4-8fg 3-3ft
PG/SG,"Mack, Shelvin",16.5,"$4,500",MEMPHIS GRIZZLIES,@ nyk, 96-84,25:05,   2pt 2rb 4as 2st 1bl 1-8fg
PG/SG,"Allen, Kadeem",11.5,"$3,700",NEW YORK KNICKS,v mem, 84-96,20:25,   0pt 2rb 5as 1bl 1to 0-2fg
SG,"Robinson, Jerome",8.75,"$3,200",LOS ANGELES CLIPPERS,@ tor, 103-121,17:09,   7pt 1rb 1trey 2-5fg 2-2ft
PG/SG,"Trier, Allonzo",8,"$5,300",NEW YORK KNICKS,v mem, 84-96,15:02,   3pt 4rb 1as 4to 1trey 1-3fg
PG/SG,"Wallace, Tyrone",4.25,"$3,200",LOS ANGELES CLIPPERS,@ tor, 103-121,10:48,   2pt 1rb 1as 1to 1-3fg
PG/SG,"Carter, Jevon",3.25,"$3,500",MEMPHIS GRIZZLIES,@ nyk, 96-84,10:30,   0pt 3rb 1to 0-3fg
PG/SG,"Loyd, Jordan",2,"$3,000",TORONTO RAPTORS,v lac, 121-103,4:24,   2pt 1-5fg 0-1ft
