position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Westbrook, Russell^",89.75,"$13,100",OKLAHOMA CITY THUNDER,@ pho, 111-118,38:05,   48pt 17rb 9as 3st 4to 3trey 14-30fg 17-18ft
PG,"Irving, Kyrie^",70,"$8,400",CLEVELAND CAVALIERS,@ atl, 135-130,35:30,   43pt 2rb 9as 4st 1bl 3to 5trey 14-21fg 10-10ft
PG,"Wall, John^",60,"$9,700",WASHINGTON WIZARDS,v tor, 106-114,38:13,   30pt 8rb 7as 1st 3bl 1to 4trey 9-24fg 8-10ft
SG,"DeRozan, DeMar^",56.75,"$8,900",TORONTO RAPTORS,@ was, 114-106,37:55,   32pt 13rb 5as 4to 3trey 10-17fg 9-12ft
PG/SF,"Antetokounmpo, Giannis^",49.75,"$10,000",MILWAUKEE BUCKS,v lac, 112-101,31:27,   24pt 5rb 8as 2st 2bl 1to 10-13fg 4-5ft
PG,"Hill, George^",46.5,"$6,300",UTAH JAZZ,v bkn, 112-97,31:45,   34pt 2rb 7as 4to 3trey 10-12fg 11-12ft
SG,"Beal, Bradley^",44.25,"$7,000",WASHINGTON WIZARDS,v tor, 106-114,35:56,   27pt 7rb 4as 1st 2to 3trey 10-21fg 4-5ft
PG/SG,"Hardaway Jr., Tim",43.5,"$4,300",ATLANTA HAWKS,v cle, 130-135,35:17,   36pt 2rb 2as 1to 5trey 13-20fg 5-6ft
PG,"Holiday, Jrue^",43.25,"$6,900",NEW ORLEANS PELICANS,v sas, 98-101,43:29,   26pt 7rb 5as 1st 4to 2trey 12-27fg
PG,"Payton, Elfrid^",42.5,"$5,500",ORLANDO MAGIC,v mia, 110-99,26:48,   12pt 10rb 8as 3st 3to 5-8fg 2-3ft
PG,"Conley, Mike^",41.5,"$7,800",MEMPHIS GRIZZLIES,@ dal, 100-104,35:50,   30pt 2rb 4as 1st 1to 3trey 9-15fg 9-10ft
PG,"Bledsoe, Eric^",38.25,"$8,500",PHOENIX SUNS,v okc, 118-111,29:28,   18pt 3rb 5as 4st 1bl 2to 4-15fg 10-13ft
SG,"Curry, Seth^",37.25,"$6,000",DALLAS MAVERICKS,v mem, 104-100,36:42,   24pt 5rb 2as 2st 2to 2trey 8-15fg 6-6ft
PG,"Rose, Derrick^",35,"$6,000",NEW YORK KNICKS,@ phi, 102-105,38:00,   20pt 4rb 5as 2st 3to 5-13fg 10-13ft
PG,"Paul, Chris^",34.75,"$9,000",LOS ANGELES CLIPPERS,@ mil, 101-112,29:23,   21pt 3rb 5as 1st 4to 5trey 7-11fg 2-2ft
PG/SG,"Clarkson, Jordan",34.5,"$5,400",LOS ANGELES LAKERS,v bos, 95-115,29:42,   20pt 4rb 3as 3st 3to 1trey 7-19fg 5-5ft
PG,"Ulis, Tyler",33.5,"$3,000",PHOENIX SUNS,v okc, 118-111,20:54,   14pt 4rb 7as 3st 4to 6-9fg 2-2ft
PG,"Dragic, Goran^",32.25,"$7,100",MIAMI HEAT,@ orl, 99-110,33:48,   15pt 5rb 5as 2st 1to 3-14fg 9-11ft
PG,"Thomas, Isaiah^",32,"$9,300",BOSTON CELTICS,@ lal, 115-95,25:43,   18pt 2rb 8as 2to 1trey 6-13fg 5-5ft
SG,"Lee, Courtney^",31.25,"$4,700",NEW YORK KNICKS,@ phi, 102-105,37:18,   16pt 5rb 3as 2st 1to 2trey 6-13fg 2-2ft
