position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Knight, Brandon^",68.75,"$7,500",PHOENIX SUNS,@ den, 114-107,36:19,   38pt 11rb 6as 2st 1bl 5to 6trey 11-20fg 10-12ft
PG,"Westbrook, Russell^",62.75,"$12,300",OKLAHOMA CITY THUNDER,v nyk, 90-93,37:37,   34pt 7rb 7as 4st 1bl 3to 2trey 11-29fg 10-12ft
SG,"Butler, Jimmy^",56.25,"$7,900",CHICAGO BULLS,@ gsw, 94-106,38:50,   28pt 9rb 7as 3st 1to 2trey 11-21fg 4-7ft
PG,"Williams, Deron^",49,"$5,500",DALLAS MAVERICKS,v uta, 102-93,35:40,   23pt 6rb 8as 3st 3to 4trey 7-13fg 5-5ft
PG,"Lowry, Kyle^",47.75,"$8,100",TORONTO RAPTORS,@ lal, 102-91,36:13,   25pt 5rb 5as 3st 1to 7trey 7-16fg 4-4ft
PG,"Curry, Stephen^",45.75,"$10,800",GOLDEN STATE WARRIORS,v chi, 106-94,36:05,   27pt 5rb 4as 4st 6to 3trey 9-20fg 6-6ft
PG,"Lillard, Damian^",44.5,"$8,800",PORTLAND TRAIL BLAZERS,v lac, 102-91,38:07,   27pt 4rb 7as 1st 4to 4trey 10-25fg 3-3ft
PG,"Conley, Mike^",43.75,"$6,200",MEMPHIS GRIZZLIES,v hou, 96-84,33:56,   26pt 3rb 5as 3st 2to 3trey 10-17fg 3-4ft
PG,"Mudiay, Emmanuel^",42.75,"$5,900",DENVER NUGGETS,v pho, 107-114,29:04,   26pt 3rb 5as 3st 1bl 6to 1trey 10-16fg 5-7ft
SG,"Harden, James^",42.5,"$10,400",HOUSTON ROCKETS,@ mem, 84-96,35:36,   22pt 6rb 5as 2st 2bl 6to 1trey 7-15fg 7-8ft
PG,"Smith, Ishmael",42.5,"$5,900",NEW ORLEANS PELICANS,v sas, 104-90,30:54,   17pt 4rb 13as 2to 1trey 7-10fg 2-2ft
PG,"Walker, Kemba^",39,"$6,700",CHARLOTTE HORNETS,v phi, 113-88,34:53,   20pt 2rb 7as 3st 2to 2trey 7-12fg 4-4ft
SG,"Hollis-Jefferson, Rondae^",35.25,"$3,400",BROOKLYN NETS,@ bos, 95-120,31:23,   13pt 11rb 2as 3st 5to 1trey 5-12fg 2-3ft
PG,"Thomas, Isaiah^",35.25,"$7,300",BOSTON CELTICS,v bkn, 120-95,27:51,   18pt 1rb 9as 1st 3to 4trey 7-15fg 0-1ft
PG,"Jackson, Reggie^",34.75,"$7,700",DETROIT PISTONS,@ min, 96-86,27:31,   18pt 5rb 5as 1st 2trey 8-15fg
SG,"Bledsoe, Eric^",32.75,"$8,400",PHOENIX SUNS,@ den, 114-107,37:27,   22pt 1rb 3as 2st 1bl 4to 2trey 9-17fg 2-2ft
PG,"Calderon, Jose^",31.5,"$3,700",NEW YORK KNICKS,@ okc, 93-90,29:48,   10pt 4rb 7as 3st 2to 2trey 4-7fg
SG,"Wiggins, Andrew^",30.75,"$6,800",MINNESOTA TIMBERWOLVES,v det, 86-96,36:19,   21pt 5rb 3as 2to 7-17fg 7-11ft
PG,"Russell, D'Angelo^",30.75,"$4,500",LOS ANGELES LAKERS,v tor, 91-102,33:36,   17pt 5rb 2as 1st 1bl 2to 3trey 7-16fg
SG,"Turner, Evan",29.75,"$4,600",BOSTON CELTICS,v bkn, 120-95,25:37,   12pt 5rb 7as 1bl 2to 5-7fg 2-2ft
