position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Teague, Jeff^",42.25,"$7,000",ATLANTA HAWKS,v bkn, 107-97,37,   20pt 3rb 8as 3st 2to 3trey 7-14fg 3-4ft
PG,"McCollum, C.J.",39.25,"$4,800",PORTLAND TRAIL BLAZERS,@ mem, 93-99,39,   33pt 3rb 2to 7trey 12-20fg 2-4ft
SG,"Johnson, Joe^",36.25,"$7,500",BROOKLYN NETS,@ atl, 97-107,44,   18pt 9rb 4as 1to 3trey 7-15fg 1-2ft
PG,"Jack, Jarrett",35.5,"$5,200",BROOKLYN NETS,@ atl, 97-107,32,   18pt 4rb 6as 2st 3to 2trey 7-13fg 2-2ft
PG,"Lillard, Damian^",35.5,"$8,000",PORTLAND TRAIL BLAZERS,@ mem, 93-99,42,   22pt 6rb 3as 1st 1bl 6to 1trey 8-19fg 5-6ft
SG,"Anderson, Alan",32.75,"$2,800",BROOKLYN NETS,@ atl, 97-107,32,   23pt 7rb 2to 4trey 9-11fg 1-1ft
SG,"Korver, Kyle^",32.25,"$6,100",ATLANTA HAWKS,v bkn, 107-97,40,   17pt 5rb 2as 1st 1bl 1to 5trey 6-14fg 0-0ft
SG,"Lee, Courtney^",25.75,"$4,500",MEMPHIS GRIZZLIES,v por, 99-93,35,   20pt 1rb 1as 2st 2to 8-12fg 4-4ft
PG,"Williams, Deron^",22.5,"$6,300",BROOKLYN NETS,@ atl, 97-107,32,   5pt 6rb 6as 1st 2to 2-8fg 1-1ft
SG,"Carter, Vince",20.75,"$2,200",MEMPHIS GRIZZLIES,v por, 99-93,22,   9pt 5rb 1as 1st 1bl 4-10fg 1-1ft
PG,"Calathes, Nick^",16.5,"$3,100",MEMPHIS GRIZZLIES,v por, 99-93,29,   6pt 4rb 4as 1to 3-10fg 0-0ft
SG,"Bogdanovic, Bojan^",15,"$4,900",BROOKLYN NETS,@ atl, 97-107,29,   7pt 2rb 1as 1st 1bl 1to 1trey 3-8fg 0-0ft
PG,"Schroder, Dennis",10.25,"$3,600",ATLANTA HAWKS,v bkn, 107-97,11,   6pt 1rb 3as 3to 2-4fg 2-2ft
PG,"Udrih, Beno",9.25,"$3,800",MEMPHIS GRIZZLIES,v por, 99-93,15,   4pt 3rb 1as 1-6fg 2-2ft
PG,"Blake, Steve",7,"$2,000",PORTLAND TRAIL BLAZERS,@ mem, 93-99,6,   5pt 1as 1trey 2-4fg 0-0ft
SG,"Bazemore, Kent",4.5,"$2,000",ATLANTA HAWKS,v bkn, 107-97,13,   2pt 2rb 1-5fg 0-0ft
PG,"Mack, Shelvin",0,"$2,000",ATLANTA HAWKS,v bkn, 107-97,0,   0pt 0-0fg 0-0ft
PG,"Frazier, Tim",0,"$2,000",PORTLAND TRAIL BLAZERS,@ mem, 93-99,0,   0pt 0-0fg 0-0ft
SG,"Afflalo, Arron^",-0.5,"$3,200",PORTLAND TRAIL BLAZERS,@ mem, 93-99,14,   0pt 1to 0-2fg 0-0ft
SF,"Carroll, DeMarre^",42.25,"$6,500",ATLANTA HAWKS,v bkn, 107-97,42,   24pt 7rb 3as 2st 2trey 8-15fg 6-8ft
SF,"Allen, Tony^",36.75,"$4,300",MEMPHIS GRIZZLIES,v por, 99-93,31,   8pt 7rb 4as 5st 2bl 1to 1trey 3-6fg 1-2ft
SF,"Batum, Nicolas^",30.5,"$7,000",PORTLAND TRAIL BLAZERS,@ mem, 93-99,43,   6pt 10rb 7as 1bl 2to 1trey 2-12fg 1-2ft
PF,"Aldridge, LaMarcus^",30.25,"$9,600",PORTLAND TRAIL BLAZERS,@ mem, 93-99,40,   14pt 9rb 1as 2bl 1to 5-18fg 4-5ft
PF,"Randolph, Zach^",30,"$6,500",MEMPHIS GRIZZLIES,v por, 99-93,39,   16pt 8rb 2as 1st 2to 7-19fg 2-4ft
PF,"Millsap, Paul^",23.5,"$8,100",ATLANTA HAWKS,v bkn, 107-97,41,   10pt 6rb 3as 1st 2to 1trey 4-11fg 1-4ft
SF,"Green, Jeff",21.75,"$4,700",MEMPHIS GRIZZLIES,v por, 99-93,23,   10pt 7rb 1as 1bl 1to 2-9fg 6-7ft
PF,"Young, Thaddeus^",17.5,"$6,500",BROOKLYN NETS,@ atl, 97-107,25,   11pt 4rb 1as 5-10fg 1-2ft
PF,"Scott, Mike",0,"$2,000",ATLANTA HAWKS,v bkn, 107-97,2,   0pt 0-0fg 0-0ft
C,"Horford, Al^",54.25,"$7,400",ATLANTA HAWKS,v bkn, 107-97,35,   20pt 15rb 5as 2st 2bl 3to 10-17fg 0-0ft
C,"Gasol, Marc^",52,"$8,600",MEMPHIS GRIZZLIES,v por, 99-93,38,   26pt 14rb 3as 2bl 3to 9-15fg 8-10ft
C,"Lopez, Brook^",26.75,"$8,300",BROOKLYN NETS,@ atl, 97-107,39,   15pt 3rb 2as 3bl 2to 4-13fg 7-7ft
C,"Antic, Pero",17.5,"$2,100",ATLANTA HAWKS,v bkn, 107-97,18,   8pt 4rb 1as 1bl 2trey 2-3fg 2-2ft
C,"Leonard, Meyers",17,"$3,600",PORTLAND TRAIL BLAZERS,@ mem, 93-99,32,   9pt 4rb 1as 3trey 3-6fg 0-0ft
C,"Lopez, Robin^",15,"$3,000",PORTLAND TRAIL BLAZERS,@ mem, 93-99,18,   4pt 4rb 3bl 1-1fg 2-2ft
C,"Koufos, Kosta",10.75,"$2,100",MEMPHIS GRIZZLIES,v por, 99-93,9,   0pt 7rb 1st 0-2fg 0-0ft
C,"Plumlee, Mason",3.5,"$2,000",BROOKLYN NETS,@ atl, 97-107,7,   0pt 1st 1bl 1to 0-0fg 0-0ft
C,"Kaman, Chris",2,"$2,400",PORTLAND TRAIL BLAZERS,@ mem, 93-99,5,   0pt 2rb 1to 0-0fg 0-0ft
