position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Rubio, Ricky^",64.25,"$6,800",UTAH JAZZ,v okc, 115-102,36:59,   26pt 11rb 10as 2st 1bl 4to 2trey 9-18fg 6-7ft
PG/SF,"Simmons, Ben^",57.25,"$9,600",PHILADELPHIA 76ERS,@ mia, 106-102,39:02,   17pt 13rb 10as 4st 7to 8-13fg 1-4ft
PG/SG,"Holiday, Jrue^",54.25,"$7,800",NEW ORLEANS PELICANS,v por, 131-123,40:42,   41pt 3rb 8as 7to 2trey 15-23fg 9-12ft
PG/SG,"Harden, James^",49.75,"$10,700",HOUSTON ROCKETS,@ min, 105-121,36:04,   29pt 7rb 7as 1st 4to 3trey 9-21fg 8-10ft
PG/SG,"Mitchell, Donovan^",45.75,"$7,400",UTAH JAZZ,v okc, 115-102,34:58,   22pt 11rb 2as 2st 1bl 5to 4trey 9-20fg
PG/SG,"McCollum, C.J.^",45,"$6,600",PORTLAND TRAIL BLAZERS,@ nor, 123-131,45:12,   38pt 2rb 3as 2to 2trey 15-22fg 6-7ft
PG/SF,"Richardson, Josh^",43.25,"$5,000",MIAMI HEAT,v phi, 102-106,35:02,   10pt 5rb 7as 7st 1bl 1trey 4-11fg 1-2ft
PG,"Westbrook, Russell^",43.25,"$10,900",OKLAHOMA CITY THUNDER,@ uta, 102-115,37:22,   14pt 11rb 9as 2st 8to 1trey 5-17fg 3-4ft
PG,"Teague, Jeff^",41.75,"$6,000",MINNESOTA TIMBERWOLVES,v hou, 121-105,40:34,   23pt 3rb 8as 1st 1to 3trey 9-14fg 2-3ft
PG,"Rondo, Rajon^",38.75,"$7,600",NEW ORLEANS PELICANS,v por, 131-123,34:51,   7pt 7rb 16as 2to 3-7fg 1-1ft
PG,"Lillard, Damian^",38.25,"$8,400",PORTLAND TRAIL BLAZERS,@ nor, 123-131,45:03,   19pt 5rb 6as 2st 1to 1trey 7-16fg 4-5ft
PG/SG,"Wade, Dwyane",35.25,"$5,100",MIAMI HEAT,v phi, 102-106,25:57,   25pt 3rb 1as 3st 2to 10-22fg 5-6ft
PG,"Dragic, Goran^",31.75,"$6,300",MIAMI HEAT,v phi, 102-106,37:21,   20pt 1rb 3as 4st 5to 1trey 9-19fg 1-4ft
