team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
TORONTO RAPTORS,240,32,84,8,21,15,20,8,38,16,10,4,11,16
ATLANTA HAWKS,240,33,76,12,32,17,21,5,36,23,4,12,13,19
SAN ANTONIO SPURS,240,39,80,7,16,16,23,5,27,28,10,2,12,11
GOLDEN STATE WARRIORS,240,45,83,12,25,10,11,7,36,33,8,2,15,22
PHOENIX SUNS,240,44,94,12,31,24,29,20,27,31,11,2,19,24
HOUSTON ROCKETS,240,42,74,14,33,17,28,5,21,26,13,12,18,24
CHICAGO BULLS,240,35,78,3,14,25,28,12,29,18,6,7,12,12
MIAMI HEAT,240,44,92,4,14,14,17,15,32,16,8,2,10,20
MINNESOTA TIMBERWOLVES,240,36,80,11,21,22,31,13,30,25,11,4,15,17
SACRAMENTO KINGS,240,36,85,6,17,19,21,17,30,19,11,5,19,23
