team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,33,81,8,24,15,24,8,31,15,6,9,12,19
CHICAGO BULLS,240,41,86,6,17,22,25,11,35,26,4,7,8,20
ATLANTA HAWKS,240,35,76,4,20,17,22,9,29,20,8,2,12,22
DALLAS MAVERICKS,240,36,73,8,21,22,27,8,33,28,6,4,13,17
CHARLOTTE BOBCATS,240,29,72,3,13,27,36,14,35,20,2,5,17,22
LOS ANGELES CLIPPERS,240,37,86,11,29,18,24,11,24,26,10,5,6,26
WASHINGTON WIZARDS,240,32,75,6,15,23,28,8,27,18,4,6,14,20
MEMPHIS GRIZZLIES,240,43,86,2,7,19,23,14,30,28,5,6,10,23
NEW JERSEY NETS,240,31,77,4,8,15,21,10,28,19,0,3,11,21
MILWAUKEE BUCKS,240,32,75,8,21,19,27,12,32,15,6,7,8,20
TORONTO RAPTORS,240,34,101,3,14,16,22,19,33,21,10,5,15,25
MINNESOTA TIMBERWOLVES,240,35,80,11,28,22,30,8,46,21,7,9,17,21
NEW ORLEANS HORNETS,240,32,74,4,16,28,30,7,28,15,6,5,14,23
SACRAMENTO KINGS,240,41,82,4,12,16,20,9,30,23,9,2,12,25
HOUSTON ROCKETS,240,40,86,5,20,10,16,16,23,22,8,3,17,20
SAN ANTONIO SPURS,240,38,74,8,16,24,27,8,24,22,10,6,13,17
