team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
GOLDEN STATE WARRIORS,240,48,86,15,39,22,26,10,40,33,6,8,16,23
DALLAS MAVERICKS,240,38,96,9,29,18,30,14,28,21,11,0,12,20
WASHINGTON WIZARDS,240,37,84,9,30,26,28,10,28,24,13,3,15,24
DENVER NUGGETS,240,39,80,8,23,18,23,9,35,27,5,2,23,22
PHILADELPHIA 76ERS,240,35,75,9,24,18,24,8,41,25,11,0,21,24
DETROIT PISTONS,240,33,85,6,30,14,19,9,30,14,5,2,14,21
MEMPHIS GRIZZLIES,240,29,68,6,19,34,37,3,35,16,5,2,12,21
HOUSTON ROCKETS,240,32,77,9,38,17,23,9,30,25,5,2,16,31
ATLANTA HAWKS,240,36,76,7,17,14,18,6,35,14,9,1,20,17
MIAMI HEAT,240,39,85,14,37,12,18,10,31,21,12,6,19,19
CHARLOTTE HORNETS,240,33,78,7,26,21,36,10,38,17,3,5,14,21
MILWAUKEE BUCKS,240,40,85,9,26,14,16,5,37,24,8,4,13,27
SACRAMENTO KINGS,240,43,99,9,22,20,29,13,24,19,13,2,9,25
PHOENIX SUNS,240,42,77,10,30,23,27,6,39,20,6,5,20,25
TORONTO RAPTORS,240,34,80,10,37,19,24,5,29,17,11,4,14,30
SAN ANTONIO SPURS,240,40,90,5,20,16,23,18,37,19,4,12,20,22
