team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,31,70,6,17,22,33,10,23,13,11,4,18,24
ATLANTA HAWKS,240,37,73,4,19,22,26,9,31,18,11,6,17,24
DENVER NUGGETS,240,38,73,2,17,21,29,9,40,29,4,7,25,21
CHARLOTTE BOBCATS,240,36,98,6,22,10,11,11,23,26,11,4,12,23
DETROIT PISTONS,240,31,84,3,11,6,7,16,21,15,8,4,11,19
CHICAGO BULLS,240,32,75,2,12,17,21,20,33,22,6,10,15,12
MILWAUKEE BUCKS,240,50,88,10,16,11,18,11,41,32,9,3,6,18
CLEVELAND CAVALIERS,240,34,85,6,22,10,19,13,28,17,2,1,10,15
NEW JERSEY NETS,240,35,81,8,20,24,30,14,30,28,14,5,17,15
GOLDEN STATE WARRIORS,240,40,76,7,15,13,16,6,26,26,11,3,17,21
MEMPHIS GRIZZLIES,240,35,94,1,15,18,26,23,22,10,13,5,7,19
HOUSTON ROCKETS,240,38,73,7,14,15,20,7,35,18,5,9,16,21
PORTLAND TRAIL BLAZERS,240,39,78,8,19,11,15,12,24,24,6,1,13,22
LOS ANGELES CLIPPERS,240,39,75,8,21,12,19,7,24,26,7,6,12,15
BOSTON CELTICS,240,44,90,4,12,8,11,13,32,29,9,3,9,22
MINNESOTA TIMBERWOLVES,240,26,75,6,24,21,25,14,31,15,5,1,20,13
DALLAS MAVERICKS,240,38,80,7,22,17,21,5,32,21,9,3,9,18
ORLANDO MAGIC,240,35,78,11,32,17,28,10,37,17,7,4,16,21
MIAMI HEAT,240,44,77,5,14,20,24,11,19,26,11,5,8,16
TORONTO RAPTORS,240,39,72,5,14,18,19,9,21,27,5,4,16,16
SACRAMENTO KINGS,240,39,90,4,16,22,32,16,32,16,7,10,11,27
UTAH JAZZ,240,31,88,3,13,38,52,27,35,19,6,7,15,29
PHILADELPHIA 76ERS,240,30,82,3,14,13,17,10,28,19,5,3,10,11
WASHINGTON WIZARDS,240,42,87,7,17,6,6,12,40,26,5,7,13,16
