team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CLEVELAND CAVALIERS,240,47,86,25,46,16,20,5,28,31,7,5,14,24
ATLANTA HAWKS,240,49,91,10,26,22,30,11,32,30,7,4,12,15
MEMPHIS GRIZZLIES,240,38,82,9,28,15,22,7,32,16,4,0,10,23
DALLAS MAVERICKS,240,39,82,5,27,21,27,8,37,23,5,3,8,20
BOSTON CELTICS,240,43,84,10,33,19,25,6,40,30,7,2,18,17
LOS ANGELES LAKERS,240,37,87,6,24,15,20,6,28,23,11,7,14,21
LOS ANGELES CLIPPERS,240,36,64,8,19,21,36,7,31,23,4,1,23,18
MILWAUKEE BUCKS,240,44,80,10,25,14,15,3,22,35,11,4,10,27
SAN ANTONIO SPURS,265,40,95,6,27,15,25,11,42,20,6,4,11,22
NEW ORLEANS PELICANS,265,35,91,8,25,20,24,8,40,20,2,2,16,22
MIAMI HEAT,240,35,91,8,28,21,25,13,33,20,7,5,9,16
ORLANDO MAGIC,240,45,90,5,17,15,19,8,39,27,7,6,9,13
NEW YORK KNICKS,240,33,84,7,21,29,33,9,32,14,10,3,10,20
PHILADELPHIA 76ERS,240,36,83,9,28,24,31,12,38,20,5,9,15,21
OKLAHOMA CITY THUNDER,240,37,87,9,35,28,35,11,36,14,10,5,19,30
PHOENIX SUNS,240,44,89,5,21,25,31,9,36,28,10,7,17,26
BROOKLYN NETS,240,36,89,7,30,18,24,9,33,12,6,3,12,24
UTAH JAZZ,240,38,74,12,26,24,34,5,40,25,7,5,13,25
TORONTO RAPTORS,240,41,81,11,25,21,27,11,40,16,5,9,17,23
WASHINGTON WIZARDS,240,34,92,10,30,28,32,15,30,23,8,6,11,21
