team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BROOKLYN NETS,240,33,83,4,27,17,20,9,39,15,4,10,14,20
CHARLOTTE HORNETS,240,41,100,11,33,7,10,12,37,19,4,8,8,22
SAN ANTONIO SPURS,240,40,89,8,27,11,20,12,26,23,14,3,10,19
DENVER NUGGETS,240,39,85,10,29,14,17,16,36,29,5,4,20,20
DETROIT PISTONS,240,34,91,9,36,11,12,16,28,25,7,6,22,22
INDIANA PACERS,240,53,87,5,19,14,20,7,36,33,11,5,13,17
LOS ANGELES CLIPPERS,240,40,91,6,19,32,34,7,46,21,10,4,12,29
LOS ANGELES LAKERS,240,36,87,11,30,24,35,8,42,23,5,2,17,22
CLEVELAND CAVALIERS,240,31,81,13,37,19,22,9,33,21,6,2,14,15
MIAMI HEAT,240,48,91,10,31,12,16,10,35,29,8,5,7,21
ATLANTA HAWKS,265,47,100,16,35,13,20,17,41,32,10,6,23,33
MINNESOTA TIMBERWOLVES,265,44,98,11,32,21,38,16,31,28,14,9,14,26
DALLAS MAVERICKS,240,37,78,15,32,23,33,11,28,19,7,6,16,22
NEW ORLEANS PELICANS,240,44,96,4,23,22,27,20,29,22,7,4,11,28
TORONTO RAPTORS,240,28,95,12,34,19,24,14,27,18,4,10,11,21
ORLANDO MAGIC,240,44,93,9,26,19,22,11,49,29,3,8,15,20
OKLAHOMA CITY THUNDER,240,51,95,7,20,9,13,11,38,22,12,4,16,13
PHOENIX SUNS,240,39,90,9,29,15,16,7,27,22,12,7,17,18
CHICAGO BULLS,240,37,79,8,22,19,25,7,39,20,9,6,10,18
WASHINGTON WIZARDS,240,34,85,9,30,15,18,8,32,22,7,6,12,18
