team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,45,89,18,33,13,15,9,31,30,9,3,22,27
BROOKLYN NETS,240,46,92,9,27,25,35,15,33,22,13,6,18,17
ATLANTA HAWKS,240,36,95,7,30,12,14,6,32,19,11,4,13,29
CHARLOTTE HORNETS,240,37,86,11,36,24,30,12,45,17,5,4,21,18
SACRAMENTO KINGS,240,37,87,10,23,9,13,16,41,20,8,3,14,18
DALLAS MAVERICKS,240,31,75,11,33,15,21,7,29,19,8,7,12,13
PORTLAND TRAIL BLAZERS,240,46,95,9,19,13,17,11,40,19,5,6,9,26
INDIANA PACERS,240,35,78,4,18,22,33,6,33,15,1,4,12,17
CLEVELAND CAVALIERS,240,44,81,11,26,17,17,9,35,25,8,3,17,11
MILWAUKEE BUCKS,240,38,82,11,35,10,12,8,22,23,9,2,14,17
UTAH JAZZ,240,37,77,9,22,14,17,7,31,23,10,8,19,21
MINNESOTA TIMBERWOLVES,240,36,81,7,22,21,26,10,34,17,11,2,15,17
GOLDEN STATE WARRIORS,240,47,92,18,41,16,20,10,39,29,6,8,18,23
NEW ORLEANS PELICANS,240,45,98,16,36,14,22,16,35,26,8,4,17,19
BOSTON CELTICS,240,35,84,10,29,22,32,14,41,16,4,5,19,24
PHILADELPHIA 76ERS,240,35,92,10,32,12,16,14,33,20,7,4,16,30
LOS ANGELES LAKERS,240,48,93,12,26,24,33,5,37,22,8,3,18,31
PHOENIX SUNS,240,45,92,14,29,26,38,10,40,17,8,9,19,25
DETROIT PISTONS,240,43,87,10,23,15,20,10,23,19,12,1,19,32
WASHINGTON WIZARDS,240,40,75,6,17,29,35,7,30,25,12,7,16,18
