team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHARLOTTE BOBCATS,240,33,78,1,8,14,16,4,26,21,3,6,12,19
ATLANTA HAWKS,240,42,90,6,19,21,28,20,35,29,8,4,9,16
ORLANDO MAGIC,240,35,68,11,23,36,55,9,34,27,9,4,10,16
GOLDEN STATE WARRIORS,240,43,82,10,23,13,19,6,32,27,7,2,14,36
NEW YORK KNICKS,240,31,83,11,26,10,11,8,33,19,8,3,18,23
MEMPHIS GRIZZLIES,240,34,75,6,12,20,30,8,40,20,9,6,16,11
DETROIT PISTONS,240,33,74,3,5,24,24,10,25,18,6,3,16,21
MILWAUKEE BUCKS,240,37,78,11,22,17,17,13,22,25,9,7,14,20
CLEVELAND CAVALIERS,240,39,89,10,19,13,21,15,32,22,10,2,12,19
PHOENIX SUNS,240,34,75,8,21,14,20,9,30,23,6,10,15,21
