team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,43,83,9,22,17,19,6,32,28,4,0,13,20
GOLDEN STATE WARRIORS,240,46,83,13,30,18,20,3,33,40,6,3,12,16
BOSTON CELTICS,240,42,90,15,44,8,10,7,35,22,3,5,11,25
LOS ANGELES LAKERS,240,40,91,7,26,21,36,14,37,18,6,2,10,16
BROOKLYN NETS,240,37,79,16,38,18,25,8,37,27,1,5,12,25
OKLAHOMA CITY THUNDER,240,40,94,7,25,22,32,16,34,12,7,4,4,18
SACRAMENTO KINGS,240,43,87,8,26,11,13,11,33,24,9,11,14,15
ORLANDO MAGIC,240,36,83,11,31,16,19,11,29,23,9,4,17,17
CLEVELAND CAVALIERS,240,35,72,6,21,26,31,6,35,19,6,3,18,14
SAN ANTONIO SPURS,240,47,94,8,28,12,16,13,32,23,11,4,9,19
