team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,47,85,14,29,19,25,8,25,38,9,5,14,22
BROOKLYN NETS,240,49,88,16,40,30,33,10,29,34,12,3,13,21
PHILADELPHIA 76ERS,240,51,91,11,27,15,20,12,36,32,5,9,10,18
CLEVELAND CAVALIERS,240,41,88,12,30,11,17,6,27,28,8,0,12,20
SACRAMENTO KINGS,240,46,98,9,31,19,21,11,36,20,6,7,9,26
DALLAS MAVERICKS,240,40,96,9,35,24,31,16,37,22,6,5,14,18
TORONTO RAPTORS,240,35,88,7,35,9,14,13,38,13,5,4,11,16
DENVER NUGGETS,240,36,85,10,30,13,16,10,34,21,7,4,8,14
NEW YORK KNICKS,240,37,89,10,32,15,22,13,31,21,7,1,15,19
INDIANA PACERS,240,40,87,12,34,18,23,11,34,28,9,4,13,18
MIAMI HEAT,240,38,91,10,35,16,23,22,35,22,6,4,18,21
NEW ORLEANS PELICANS,240,35,86,13,36,13,17,11,27,26,12,5,10,22
LOS ANGELES LAKERS,240,44,91,11,36,11,18,8,35,24,10,6,22,13
WASHINGTON WIZARDS,240,54,106,13,31,7,10,15,36,30,14,5,17,13
