team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES CLIPPERS,240,33,87,7,25,23,30,18,32,20,4,4,11,17
DALLAS MAVERICKS,240,42,91,8,20,14,19,14,30,24,9,7,8,16
INDIANA PACERS,240,33,76,12,31,20,33,9,35,24,8,4,14,14
DETROIT PISTONS,240,31,84,7,23,14,17,11,34,22,6,3,12,26
DENVER NUGGETS,240,35,77,6,21,28,31,8,27,15,4,5,13,21
NEW YORK KNICKS,240,36,78,10,29,27,35,12,29,17,10,1,11,24
CHARLOTTE BOBCATS,265,36,91,1,9,22,34,23,38,13,8,1,13,23
WASHINGTON WIZARDS,265,33,83,6,17,14,17,11,31,17,5,5,18,34
