team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DENVER NUGGETS,240,42,91,4,20,17,23,11,35,25,8,4,11,12
ATLANTA HAWKS,240,37,89,14,33,12,12,11,32,23,7,4,12,21
HOUSTON ROCKETS,240,38,85,22,57,11,13,7,44,21,5,6,15,26
CHARLOTTE HORNETS,240,33,88,11,29,16,28,11,33,16,6,5,9,14
WASHINGTON WIZARDS,240,43,97,15,33,16,22,12,29,30,7,6,14,21
GOLDEN STATE WARRIORS,240,46,95,10,38,18,20,15,38,33,7,13,17,20
TORONTO RAPTORS,240,40,93,7,29,14,20,9,31,27,12,4,12,24
LOS ANGELES LAKERS,240,36,79,3,23,17,24,9,40,20,7,6,21,22
OKLAHOMA CITY THUNDER,240,43,86,8,28,22,25,11,24,19,8,9,14,29
MINNESOTA TIMBERWOLVES,240,42,86,8,22,27,35,17,27,23,5,7,15,21
BROOKLYN NETS,240,30,75,11,30,15,21,5,30,18,5,1,16,20
NEW YORK KNICKS,240,44,98,9,27,10,17,19,36,19,7,6,11,19
SAN ANTONIO SPURS,240,30,89,4,24,23,27,17,32,19,8,8,17,15
ORLANDO MAGIC,240,48,84,11,23,7,14,6,39,22,9,7,17,24
