team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,31,82,2,10,8,14,11,44,17,6,5,19,19
ATLANTA HAWKS,240,34,89,5,25,8,13,11,37,18,12,4,13,18
MILWAUKEE BUCKS,240,44,93,2,16,8,11,9,30,26,5,12,14,27
CHARLOTTE BOBCATS,240,36,82,3,11,27,30,11,33,22,7,5,16,14
GOLDEN STATE WARRIORS,265,37,91,9,24,22,30,19,43,19,10,2,20,24
DALLAS MAVERICKS,265,37,86,10,21,17,24,7,36,24,12,11,16,22
DENVER NUGGETS,240,36,81,5,15,20,28,21,26,21,9,3,17,15
MEMPHIS GRIZZLIES,240,36,78,6,17,14,17,12,21,23,10,4,17,20
LOS ANGELES CLIPPERS,240,40,85,1,12,11,19,17,35,13,7,7,17,20
SAN ANTONIO SPURS,240,29,82,6,20,23,28,13,29,16,7,3,13,19
HOUSTON ROCKETS,240,30,86,7,21,24,31,15,34,18,4,9,14,22
UTAH JAZZ,240,37,92,9,21,19,23,14,41,30,4,11,14,23
INDIANA PACERS,240,34,70,3,19,25,29,8,38,20,5,10,20,27
WASHINGTON WIZARDS,240,31,87,4,17,23,31,14,22,13,10,2,10,27
