team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,31,77,11,23,16,22,4,37,24,11,5,13,16
CHARLOTTE BOBCATS,240,37,88,6,19,7,10,11,34,24,3,8,15,18
INDIANA PACERS,240,37,88,5,12,17,27,10,41,20,5,2,16,27
DENVER NUGGETS,240,40,83,8,20,21,37,5,41,26,8,6,14,21
HOUSTON ROCKETS,240,30,81,9,32,12,17,10,28,14,3,5,15,15
MEMPHIS GRIZZLIES,240,41,88,7,19,10,14,16,36,23,8,5,11,23
ATLANTA HAWKS,240,40,76,13,26,19,25,4,31,26,10,2,13,19
MILWAUKEE BUCKS,240,38,82,5,21,6,13,13,26,23,6,5,19,26
OKLAHOMA CITY THUNDER,240,40,76,4,21,19,25,9,35,23,10,8,20,21
PHILADELPHIA 76ERS,240,34,90,4,27,19,27,19,25,22,15,4,15,22
MINNESOTA TIMBERWOLVES,240,38,89,9,22,19,22,8,32,24,5,5,10,22
PORTLAND TRAIL BLAZERS,240,46,95,4,16,19,24,13,37,26,7,5,12,23
LOS ANGELES CLIPPERS,240,46,84,12,22,22,25,8,24,20,10,1,6,23
TORONTO RAPTORS,240,36,74,14,29,32,38,15,27,24,4,1,14,22
WASHINGTON WIZARDS,240,39,91,7,20,16,18,14,33,19,6,3,9,18
UTAH JAZZ,240,38,81,10,24,18,22,8,33,17,5,1,11,14
