team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,37,88,8,30,23,27,11,39,17,6,3,17,28
BOSTON CELTICS,240,37,84,9,31,25,32,8,38,25,8,4,14,20
MIAMI HEAT,240,41,87,11,28,20,24,10,24,25,9,5,15,26
CHARLOTTE HORNETS,240,44,81,13,28,24,29,8,31,27,7,5,14,26
ATLANTA HAWKS,240,44,82,15,35,11,17,6,33,25,6,8,22,29
CLEVELAND CAVALIERS,240,45,90,13,25,33,43,13,35,23,13,1,13,20
PORTLAND TRAIL BLAZERS,240,38,80,8,20,20,23,7,44,17,4,4,17,19
HOUSTON ROCKETS,240,31,96,10,43,13,23,20,29,18,7,9,11,25
WASHINGTON WIZARDS,240,32,74,14,35,17,20,5,32,24,9,7,20,22
MEMPHIS GRIZZLIES,240,36,74,13,28,22,31,6,32,28,16,3,15,20
LOS ANGELES CLIPPERS,240,35,74,7,20,33,43,6,32,18,6,7,24,26
OKLAHOMA CITY THUNDER,240,48,94,9,17,23,32,9,32,19,16,6,15,35
SACRAMENTO KINGS,240,41,84,8,22,17,26,8,43,22,8,6,15,20
ORLANDO MAGIC,240,36,91,11,43,16,22,11,37,28,10,8,16,22
PHILADELPHIA 76ERS,240,38,91,14,40,22,30,17,30,25,7,5,23,24
TORONTO RAPTORS,240,47,92,11,27,24,28,9,34,29,13,6,15,26
