team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,30,77,9,26,12,16,9,37,14,3,4,18,27
ATLANTA HAWKS,240,29,78,9,29,20,27,5,37,24,12,3,12,12
NEW YORK KNICKS,240,40,81,6,16,15,18,11,29,26,13,5,13,20
BOSTON CELTICS,240,37,85,7,22,14,18,12,29,28,3,3,17,18
PHILADELPHIA 76ERS,240,22,69,11,28,15,20,10,27,18,10,4,23,20
BROOKLYN NETS,240,36,81,5,20,11,17,13,34,25,16,5,17,15
PORTLAND TRAIL BLAZERS,240,43,88,12,24,8,11,11,26,20,3,5,10,17
CHICAGO BULLS,240,44,88,5,15,22,28,14,33,18,5,3,7,11
CHARLOTTE HORNETS,290,41,98,6,17,19,27,13,36,16,8,11,14,29
MEMPHIS GRIZZLIES,290,39,85,6,13,29,38,7,40,21,7,9,20,22
OKLAHOMA CITY THUNDER,240,45,88,6,24,15,20,16,31,23,11,6,17,23
MINNESOTA TIMBERWOLVES,240,36,78,1,7,19,29,9,22,21,11,9,15,16
CLEVELAND CAVALIERS,240,44,89,8,22,18,23,11,29,22,6,6,6,19
NEW ORLEANS PELICANS,240,44,79,12,28,19,25,6,33,21,5,6,7,15
DETROIT PISTONS,240,40,84,4,15,21,27,13,34,17,11,3,18,18
PHOENIX SUNS,240,39,83,10,31,15,19,10,27,16,11,5,17,24
LOS ANGELES LAKERS,265,44,96,12,24,12,15,14,35,27,11,4,14,19
SAN ANTONIO SPURS,265,42,90,12,31,14,21,12,35,23,10,5,19,16
INDIANA PACERS,240,33,80,8,22,20,23,6,33,24,4,7,12,22
TORONTO RAPTORS,240,38,91,10,26,20,22,16,36,21,2,3,10,23
MIAMI HEAT,240,36,72,7,20,21,31,7,28,19,6,3,9,16
UTAH JAZZ,240,34,77,8,28,19,22,12,32,16,4,6,11,18
LOS ANGELES CLIPPERS,240,32,75,6,20,26,31,12,25,14,7,2,18,20
WASHINGTON WIZARDS,240,39,80,9,16,17,21,9,28,28,10,6,14,25
