team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
OKLAHOMA CITY THUNDER,240,37,80,10,31,18,28,8,35,26,9,5,19,27
ATLANTA HAWKS,240,34,77,7,22,24,32,7,29,26,13,3,18,24
WASHINGTON WIZARDS,240,45,92,14,34,14,18,8,27,26,17,5,10,22
BROOKLYN NETS,240,40,81,11,27,22,30,13,37,25,5,3,21,15
PORTLAND TRAIL BLAZERS,240,45,93,9,24,13,18,10,28,25,9,8,9,27
CHICAGO BULLS,240,35,83,7,23,33,38,15,35,16,8,11,15,17
CHARLOTTE HORNETS,240,40,79,3,18,26,28,9,44,21,2,5,12,19
DALLAS MAVERICKS,240,37,89,13,36,14,18,9,26,23,4,2,7,19
INDIANA PACERS,240,35,85,3,15,33,35,9,31,20,10,5,14,21
GOLDEN STATE WARRIORS,240,54,104,14,37,20,26,16,38,45,12,13,11,22
BOSTON CELTICS,240,42,99,11,32,11,12,10,32,27,7,4,11,20
HOUSTON ROCKETS,240,34,76,12,38,27,31,7,39,20,8,7,16,14
UTAH JAZZ,240,38,80,13,32,18,29,11,28,26,5,7,12,18
LOS ANGELES LAKERS,240,39,87,5,14,18,23,15,28,15,8,1,10,23
SAN ANTONIO SPURS,240,40,93,8,28,9,14,12,34,26,6,5,14,22
MILWAUKEE BUCKS,240,30,73,6,24,30,34,7,36,16,4,7,14,16
MEMPHIS GRIZZLIES,290,42,104,13,34,13,21,13,48,23,8,4,14,22
NEW ORLEANS PELICANS,290,39,99,10,32,20,21,6,48,21,7,7,11,15
DENVER NUGGETS,240,35,76,10,27,26,34,10,35,17,13,8,19,20
PHILADELPHIA 76ERS,240,35,86,11,31,17,23,12,32,20,12,10,17,25
CLEVELAND CAVALIERS,240,40,84,14,32,22,27,13,35,21,4,3,14,21
TORONTO RAPTORS,240,38,88,13,32,23,27,10,23,22,8,5,7,22
