team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,39,97,9,28,18,20,12,24,14,10,1,3,19
BROOKLYN NETS,240,37,75,12,30,21,24,12,43,22,2,6,22,23
OKLAHOMA CITY THUNDER,240,34,95,7,33,17,23,15,37,18,5,4,12,29
LOS ANGELES CLIPPERS,240,35,81,11,26,27,36,10,38,21,3,3,14,24
ATLANTA HAWKS,240,41,83,14,30,21,36,11,29,27,9,5,19,31
MEMPHIS GRIZZLIES,240,44,81,13,26,30,43,7,34,32,9,4,16,29
INDIANA PACERS,240,38,87,6,18,19,27,9,32,14,7,3,17,25
MILWAUKEE BUCKS,240,44,93,17,46,13,21,11,39,27,9,8,17,26
CLEVELAND CAVALIERS,240,45,93,8,23,25,29,13,30,26,5,2,14,24
MINNESOTA TIMBERWOLVES,240,44,87,10,25,33,35,9,31,28,9,7,13,21
SACRAMENTO KINGS,240,50,96,10,25,19,26,9,30,24,6,2,13,26
NEW ORLEANS PELICANS,240,56,95,16,31,21,33,12,40,35,6,4,16,25
CHARLOTTE HORNETS,240,43,92,17,38,17,20,12,43,32,6,4,15,17
ORLANDO MAGIC,240,36,94,6,31,10,14,12,32,18,8,7,15,16
BOSTON CELTICS,240,40,99,14,36,7,10,16,33,29,4,6,14,27
TORONTO RAPTORS,240,43,92,13,35,14,19,12,37,24,3,3,12,19
GOLDEN STATE WARRIORS,240,49,87,10,19,16,18,8,35,27,10,6,16,23
UTAH JAZZ,240,40,89,19,46,24,29,10,28,24,11,4,16,19
