team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
WASHINGTON WIZARDS,240,31,68,1,11,20,24,6,30,13,8,8,17,18
BOSTON CELTICS,240,30,73,5,12,21,26,8,29,15,9,1,16,21
PORTLAND TRAIL BLAZERS,240,35,82,9,16,27,36,13,24,23,5,3,9,26
DENVER NUGGETS,240,43,73,9,22,23,34,4,31,31,5,7,12,25
HOUSTON ROCKETS,265,40,87,7,28,20,23,8,35,20,8,2,13,17
DETROIT PISTONS,265,43,91,6,13,18,25,14,36,26,5,3,9,24
LOS ANGELES LAKERS,240,33,88,5,17,23,26,14,25,16,6,6,7,28
ORLANDO MAGIC,240,30,73,8,24,28,39,15,35,18,3,7,19,25
OKLAHOMA CITY THUNDER,240,41,86,4,14,22,25,16,29,15,7,7,14,20
SACRAMENTO KINGS,240,41,81,5,9,15,24,9,24,21,7,3,11,22
PHILADELPHIA 76ERS,240,45,81,9,12,15,19,12,26,25,8,6,17,16
TORONTO RAPTORS,240,43,84,7,18,8,12,11,23,23,10,5,15,19
