team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MEMPHIS GRIZZLIES,240,32,71,2,7,10,12,7,28,16,6,11,11,19
BROOKLYN NETS,240,29,77,9,21,5,13,17,27,18,7,4,14,14
LOS ANGELES LAKERS,240,34,72,13,25,22,31,7,38,17,7,2,16,16
DALLAS MAVERICKS,240,39,87,8,18,13,19,12,32,19,11,1,12,23
CLEVELAND CAVALIERS,240,39,78,8,20,19,24,9,26,18,7,4,11,19
MIAMI HEAT,240,39,75,12,19,19,24,6,28,23,8,9,11,17
GOLDEN STATE WARRIORS,240,37,81,7,17,19,23,14,34,18,11,4,22,28
MINNESOTA TIMBERWOLVES,240,37,85,1,11,24,31,14,27,23,12,2,17,21
SACRAMENTO KINGS,240,35,83,12,19,13,13,11,27,20,5,4,13,16
NEW ORLEANS HORNETS,240,45,89,6,16,14,15,15,31,31,5,9,9,13
PHILADELPHIA 76ERS,240,36,85,4,13,17,20,11,33,18,8,2,12,22
NEW YORK KNICKS,240,32,75,8,33,27,35,11,37,17,7,3,12,18
CHICAGO BULLS,240,25,86,4,18,18,24,16,28,14,10,5,17,18
OKLAHOMA CITY THUNDER,240,36,79,6,17,24,27,14,38,17,9,9,17,19
SAN ANTONIO SPURS,240,32,72,5,17,28,35,4,32,22,10,5,17,26
PHOENIX SUNS,240,30,81,3,9,24,33,13,34,24,11,8,20,27
BOSTON CELTICS,240,36,85,2,13,12,15,6,30,16,9,2,9,18
PORTLAND TRAIL BLAZERS,240,35,79,7,21,15,19,11,36,21,4,2,16,16
