team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW JERSEY NETS,240,33,79,3,13,20,25,11,21,24,13,7,14,14
ATLANTA HAWKS,240,43,75,13,22,20,21,8,34,33,9,2,17,21
WASHINGTON WIZARDS,240,37,84,8,16,16,20,7,21,16,5,5,10,24
CLEVELAND CAVALIERS,240,43,75,11,22,24,30,9,35,29,8,9,14,13
LOS ANGELES LAKERS,240,33,86,7,22,18,23,12,32,17,9,3,10,18
LOS ANGELES CLIPPERS,240,40,87,4,15,18,23,11,39,28,5,6,11,18
BOSTON CELTICS,265,36,67,7,17,33,41,5,37,19,9,8,24,26
MIAMI HEAT,265,40,98,6,19,20,27,17,27,20,10,4,11,28
GOLDEN STATE WARRIORS,240,40,87,3,13,24,29,11,32,21,12,10,10,29
MINNESOTA TIMBERWOLVES,240,37,84,1,9,26,33,16,34,18,4,5,18,20
NEW ORLEANS HORNETS,240,37,75,7,22,16,17,5,30,19,6,5,8,18
OKLAHOMA CITY THUNDER,240,35,79,4,15,18,23,13,31,18,6,1,11,18
TORONTO RAPTORS,240,39,71,9,20,21,24,2,33,31,6,2,15,28
ORLANDO MAGIC,240,31,74,9,31,32,38,10,25,19,8,2,14,18
HOUSTON ROCKETS,240,43,96,11,33,13,15,18,29,21,8,1,18,22
PHOENIX SUNS,240,43,79,13,25,19,23,7,32,22,8,9,17,18
DETROIT PISTONS,240,38,85,2,13,14,25,18,20,16,9,3,16,21
SAN ANTONIO SPURS,240,43,74,8,14,18,24,8,26,30,8,2,12,21
MEMPHIS GRIZZLIES,240,32,79,4,11,26,37,13,27,15,4,2,20,21
UTAH JAZZ,240,46,81,9,19,16,22,5,30,39,13,6,13,30
