team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW JERSEY NETS,240,29,81,10,22,15,21,10,32,16,3,9,8,24
CHICAGO BULLS,240,37,84,7,13,25,29,9,45,30,4,4,7,16
DALLAS MAVERICKS,240,44,91,16,30,7,10,4,48,34,15,6,14,15
GOLDEN STATE WARRIORS,240,34,102,8,29,14,15,16,43,18,9,3,15,10
LOS ANGELES LAKERS,240,42,73,8,14,17,24,8,35,21,4,9,16,25
HOUSTON ROCKETS,240,38,88,8,26,17,21,11,21,25,9,1,8,23
PORTLAND TRAIL BLAZERS,240,43,75,6,18,20,23,12,23,23,5,2,11,15
NEW ORLEANS HORNETS,240,41,70,7,12,12,17,6,19,24,6,1,12,22
UTAH JAZZ,240,39,66,5,12,20,26,5,40,32,7,8,22,22
WASHINGTON WIZARDS,240,33,86,6,18,15,22,14,21,21,7,3,12,23
