team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,33,68,5,16,22,31,8,19,17,8,4,17,21
BOSTON CELTICS,240,46,74,7,16,20,28,8,28,34,8,6,11,25
LOS ANGELES LAKERS,240,42,75,6,20,34,42,14,42,25,4,8,24,14
GOLDEN STATE WARRIORS,240,48,100,13,30,12,13,7,18,29,14,1,5,26
DENVER NUGGETS,240,49,99,9,22,16,20,16,28,22,3,6,8,26
HOUSTON ROCKETS,240,45,79,7,16,28,35,8,30,23,4,1,10,22
NEW ORLEANS HORNETS,240,48,85,9,18,3,5,6,36,31,3,2,14,17
LOS ANGELES CLIPPERS,240,40,93,5,25,15,19,13,26,30,5,1,8,12
NEW YORK KNICKS,240,36,77,11,25,11,15,7,31,21,8,0,10,18
PHILADELPHIA 76ERS,240,33,86,6,25,12,21,21,33,14,6,6,15,19
WASHINGTON WIZARDS,240,31,84,3,9,24,30,19,29,17,4,7,14,23
UTAH JAZZ,240,43,82,5,13,21,35,8,34,28,10,6,11,26
