team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
WASHINGTON WIZARDS,240,36,83,13,40,25,36,9,28,26,14,1,15,32
ATLANTA HAWKS,240,37,79,12,32,32,39,13,36,23,4,5,23,29
LOS ANGELES LAKERS,240,42,90,13,40,13,23,8,40,21,6,4,14,19
BROOKLYN NETS,240,44,91,14,34,13,19,4,36,27,5,4,11,18
DALLAS MAVERICKS,240,40,86,15,37,23,30,6,27,26,8,1,8,17
DENVER NUGGETS,240,50,90,12,29,14,18,12,35,33,7,3,15,28
CLEVELAND CAVALIERS,240,38,91,6,31,10,13,12,39,19,7,5,9,16
INDIANA PACERS,240,37,93,4,22,13,21,14,38,21,7,9,9,12
