team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,34,76,4,13,16,21,12,35,20,5,6,11,14
BOSTON CELTICS,240,31,75,6,14,11,13,8,26,20,6,3,9,19
DETROIT PISTONS,240,40,82,7,14,11,16,13,33,26,7,6,11,17
CHARLOTTE BOBCATS,240,33,74,1,8,14,16,7,27,22,6,9,12,15
MILWAUKEE BUCKS,240,29,78,5,24,13,16,12,24,15,9,1,19,21
DALLAS MAVERICKS,240,39,75,10,22,14,18,8,35,20,13,6,17,17
MIAMI HEAT,240,38,81,7,16,21,29,14,26,19,11,4,17,25
DENVER NUGGETS,240,43,78,12,25,19,26,8,29,26,10,5,18,19
SACRAMENTO KINGS,240,35,80,4,20,15,16,6,30,17,8,6,11,15
HOUSTON ROCKETS,240,40,89,8,21,15,19,18,37,22,6,5,12,15
CLEVELAND CAVALIERS,240,32,85,8,24,20,25,13,31,20,5,0,18,24
LOS ANGELES LAKERS,240,37,76,5,14,18,23,7,29,30,10,5,17,26
MINNESOTA TIMBERWOLVES,240,24,70,6,25,33,38,12,36,11,5,5,16,19
NEW ORLEANS HORNETS,240,34,90,4,16,8,16,19,32,17,10,2,12,32
WASHINGTON WIZARDS,240,36,81,4,17,13,20,9,28,18,8,5,18,16
PHILADELPHIA 76ERS,240,47,85,12,18,14,19,9,30,27,10,2,12,15
NEW JERSEY NETS,240,40,80,15,32,15,19,8,27,18,9,3,12,21
PHOENIX SUNS,240,41,79,8,22,13,16,9,26,26,4,1,13,18
PORTLAND TRAIL BLAZERS,240,34,84,5,18,10,14,10,26,20,18,5,18,22
SAN ANTONIO SPURS,240,38,74,6,17,17,25,11,39,23,8,7,23,22
INDIANA PACERS,240,30,66,3,8,32,38,9,27,13,9,4,16,22
TORONTO RAPTORS,240,33,74,4,17,20,32,11,24,17,4,3,17,32
