team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SACRAMENTO KINGS,240,45,86,13,31,9,20,9,30,29,7,6,16,17
DENVER NUGGETS,240,51,99,11,30,13,15,15,34,31,11,3,12,22
PHILADELPHIA 76ERS,265,49,98,14,43,20,28,8,40,32,3,8,11,24
DETROIT PISTONS,265,51,108,12,33,19,27,12,34,22,4,4,8,24
LOS ANGELES CLIPPERS,240,41,87,5,20,22,27,9,38,18,5,4,16,26
NEW ORLEANS PELICANS,240,40,93,6,24,30,40,12,36,22,12,8,8,24
