team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,38,68,7,17,14,17,5,37,24,11,4,20,13
DETROIT PISTONS,240,32,82,5,19,10,14,10,24,15,15,2,15,18
NEW YORK KNICKS,240,41,84,10,22,26,31,8,36,21,9,11,10,15
LOS ANGELES LAKERS,240,42,88,10,28,18,22,9,32,26,7,1,14,22
GOLDEN STATE WARRIORS,240,38,83,13,32,27,30,6,31,30,9,4,8,24
MINNESOTA TIMBERWOLVES,240,36,81,9,24,27,36,16,35,17,3,2,14,21
BOSTON CELTICS,240,40,90,11,32,5,8,12,28,28,9,4,13,22
OKLAHOMA CITY THUNDER,240,41,83,3,21,14,27,15,34,17,9,7,12,9
NEW ORLEANS PELICANS,265,38,97,16,40,28,35,14,35,24,12,4,11,27
PHOENIX SUNS,265,44,96,14,41,17,26,14,43,21,6,3,16,27
