team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES CLIPPERS,240,37,92,11,29,19,28,16,35,26,10,5,10,23
ATLANTA HAWKS,240,34,76,12,23,27,35,9,34,28,6,3,14,21
DENVER NUGGETS,240,36,82,7,25,17,22,14,37,15,4,4,18,15
BROOKLYN NETS,240,43,91,6,23,10,14,12,27,21,10,3,9,19
MINNESOTA TIMBERWOLVES,240,39,88,4,13,22,29,16,24,25,13,9,18,23
CLEVELAND CAVALIERS,240,44,84,12,24,25,31,12,26,24,11,6,17,23
NEW ORLEANS PELICANS,240,33,83,4,20,14,19,9,37,15,4,2,15,18
INDIANA PACERS,240,39,78,5,15,13,18,3,35,24,9,12,9,19
GOLDEN STATE WARRIORS,240,39,84,12,26,15,17,11,28,20,8,2,19,18
LOS ANGELES LAKERS,240,46,89,12,26,11,17,13,29,28,11,10,16,15
PHILADELPHIA 76ERS,240,33,77,5,19,20,27,14,28,11,13,11,16,20
MIAMI HEAT,240,33,80,8,26,13,18,14,25,13,10,6,20,19
CHARLOTTE HORNETS,240,36,82,8,21,28,36,11,32,21,6,5,12,21
MILWAUKEE BUCKS,240,39,82,8,21,15,20,9,31,25,7,6,20,25
PORTLAND TRAIL BLAZERS,265,38,91,17,31,22,24,9,37,22,6,2,14,20
OKLAHOMA CITY THUNDER,265,46,101,6,19,13,15,13,40,20,8,5,11,28
BOSTON CELTICS,240,33,85,7,23,22,29,9,36,22,10,4,12,21
ORLANDO MAGIC,240,39,83,7,18,15,23,7,38,23,7,4,14,21
DALLAS MAVERICKS,240,41,88,9,25,24,29,14,35,22,4,1,20,27
PHOENIX SUNS,240,44,97,13,33,23,32,14,30,30,12,3,12,26
CHICAGO BULLS,240,39,85,5,17,16,24,8,44,20,5,7,10,14
WASHINGTON WIZARDS,240,38,89,5,9,10,16,7,34,21,7,5,8,17
