team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,265,41,76,14,35,15,18,6,29,20,6,10,16,22
CHARLOTTE BOBCATS,265,39,84,6,11,18,20,9,24,27,7,2,11,15
DENVER NUGGETS,240,41,86,8,23,14,18,12,28,23,9,4,14,17
DALLAS MAVERICKS,240,39,80,5,22,13,20,15,30,20,9,9,16,18
NEW JERSEY NETS,240,40,82,8,19,21,28,9,21,28,7,5,10,24
DETROIT PISTONS,240,43,78,1,7,29,32,12,30,28,6,5,13,24
LOS ANGELES LAKERS,240,33,77,5,19,16,27,12,35,17,9,1,17,16
GOLDEN STATE WARRIORS,240,36,93,7,25,16,19,18,32,23,10,2,11,18
WASHINGTON WIZARDS,240,40,87,5,10,27,36,13,26,10,9,4,17,22
INDIANA PACERS,240,50,84,13,24,23,29,6,32,32,10,7,19,23
MILWAUKEE BUCKS,240,34,76,7,20,15,15,6,32,16,11,4,9,16
MIAMI HEAT,240,30,74,8,23,17,21,12,31,14,6,6,16,15
PHOENIX SUNS,240,44,84,5,23,15,18,7,37,26,9,3,14,14
MINNESOTA TIMBERWOLVES,240,38,87,6,13,16,18,9,29,20,11,3,13,16
HOUSTON ROCKETS,240,36,78,9,24,12,13,8,30,26,3,0,17,25
NEW ORLEANS HORNETS,240,37,81,5,10,22,26,11,27,20,13,2,11,19
LOS ANGELES CLIPPERS,240,42,83,6,13,18,26,13,31,24,7,8,15,19
OKLAHOMA CITY THUNDER,240,41,95,5,19,25,29,19,29,23,8,5,12,23
NEW YORK KNICKS,240,36,87,11,31,14,19,15,33,21,3,9,6,19
PHILADELPHIA 76ERS,240,38,92,2,18,14,22,17,32,20,2,5,8,15
SACRAMENTO KINGS,240,37,93,7,20,11,15,14,24,21,4,4,9,17
SAN ANTONIO SPURS,240,46,76,12,19,20,25,7,40,26,7,6,12,15
CLEVELAND CAVALIERS,240,36,79,5,15,27,39,11,28,22,7,6,8,25
TORONTO RAPTORS,240,35,80,5,17,21,32,11,30,21,4,4,12,30
