team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,32,76,10,20,20,34,7,38,17,8,2,10,16
CHICAGO BULLS,240,34,88,9,25,13,15,11,36,21,6,10,11,25
SACRAMENTO KINGS,240,41,88,8,21,25,31,11,37,27,4,5,7,20
DENVER NUGGETS,240,40,92,9,29,17,24,15,35,27,3,10,10,22
INDIANA PACERS,240,44,84,8,23,19,23,6,42,27,9,4,13,24
PHILADELPHIA 76ERS,240,34,83,16,37,18,26,8,30,23,3,1,16,22
MIAMI HEAT,240,34,88,6,19,19,27,12,30,16,9,4,13,17
PORTLAND TRAIL BLAZERS,240,41,79,10,15,18,23,8,37,21,9,4,15,19
TORONTO RAPTORS,240,40,80,6,18,9,10,6,26,18,8,3,13,21
SAN ANTONIO SPURS,240,35,77,5,20,27,30,15,32,28,11,5,14,14
