team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BROOKLYN NETS,240,36,79,5,20,15,22,12,35,18,8,0,17,19
ATLANTA HAWKS,240,34,79,10,30,21,22,6,33,19,11,3,14,21
BOSTON CELTICS,240,37,79,8,22,18,22,7,27,24,7,4,14,29
CLEVELAND CAVALIERS,240,37,82,13,31,26,33,15,31,19,6,5,12,23
SAN ANTONIO SPURS,240,34,93,10,33,14,26,17,32,25,9,3,14,23
LOS ANGELES CLIPPERS,240,40,78,10,18,17,28,6,40,16,9,8,13,21
PORTLAND TRAIL BLAZERS,240,32,95,8,26,14,19,16,40,18,5,7,13,23
MEMPHIS GRIZZLIES,240,39,88,3,9,19,26,8,40,21,8,9,8,18
