team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MIAMI HEAT,240,38,85,6,12,20,23,11,23,17,8,5,10,23
CHICAGO BULLS,240,36,77,10,19,24,26,14,36,20,3,8,15,21
BOSTON CELTICS,240,40,78,6,13,19,21,10,27,32,11,3,17,13
GOLDEN STATE WARRIORS,240,41,78,5,21,16,19,8,25,25,11,3,17,18
CHARLOTTE BOBCATS,240,33,81,4,12,17,19,4,26,25,12,7,13,16
HOUSTON ROCKETS,240,45,84,6,9,11,17,10,36,27,9,5,18,16
PHILADELPHIA 76ERS,240,40,76,6,13,8,10,5,21,25,6,6,9,21
INDIANA PACERS,240,43,76,7,17,18,22,9,28,23,4,6,7,8
ATLANTA HAWKS,240,29,68,8,25,16,20,7,27,21,5,2,15,15
LOS ANGELES CLIPPERS,240,38,70,10,20,10,17,7,29,20,11,5,11,19
CLEVELAND CAVALIERS,240,38,85,11,24,18,25,11,23,21,12,3,14,19
MILWAUKEE BUCKS,240,46,86,7,23,16,21,16,33,38,10,6,15,20
TORONTO RAPTORS,240,31,81,1,10,21,25,12,25,22,7,5,12,14
NEW JERSEY NETS,240,38,79,7,17,15,17,12,36,20,9,6,14,20
LOS ANGELES LAKERS,265,37,82,5,19,28,35,11,33,24,12,3,19,16
NEW ORLEANS HORNETS,265,44,85,3,10,10,13,5,29,25,8,7,15,30
PORTLAND TRAIL BLAZERS,240,28,75,5,17,18,23,16,22,11,14,4,23,20
NEW YORK KNICKS,240,43,80,19,38,16,26,11,31,35,12,0,19,19
UTAH JAZZ,240,47,90,5,13,12,17,10,32,22,8,3,12,23
PHOENIX SUNS,240,44,78,9,19,23,32,3,31,29,8,6,12,14
DETROIT PISTONS,240,50,86,8,13,16,20,10,27,29,6,2,10,20
SACRAMENTO KINGS,240,45,87,5,19,17,24,13,24,25,8,4,13,21
ORLANDO MAGIC,240,45,86,11,27,10,16,8,30,20,3,7,6,20
SAN ANTONIO SPURS,240,43,83,13,26,23,27,11,34,27,2,3,6,14
