team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MINNESOTA TIMBERWOLVES,240,43,93,9,20,15,23,9,28,21,5,9,10,27
CHARLOTTE BOBCATS,240,38,73,7,14,30,40,8,37,25,5,11,16,23
NEW ORLEANS HORNETS,240,34,77,11,25,16,24,12,30,20,9,3,13,26
DALLAS MAVERICKS,240,34,69,11,27,19,27,8,30,21,3,3,15,18
DETROIT PISTONS,240,33,74,7,19,24,36,9,33,22,8,3,16,20
GOLDEN STATE WARRIORS,240,36,85,7,18,22,27,14,30,22,13,5,12,25
NEW JERSEY NETS,240,43,72,6,15,18,19,9,26,32,5,8,12,28
LOS ANGELES CLIPPERS,240,30,76,8,24,28,38,17,17,16,6,0,12,17
MEMPHIS GRIZZLIES,240,29,80,3,14,11,20,15,24,17,10,4,18,27
ORLANDO MAGIC,240,28,64,6,17,27,34,9,38,12,10,6,19,22
DENVER NUGGETS,240,37,89,3,17,17,25,11,41,12,4,1,16,20
PHOENIX SUNS,240,38,89,4,20,20,25,9,34,17,4,8,10,22
OKLAHOMA CITY THUNDER,240,38,75,6,15,33,34,14,25,18,9,6,12,21
UTAH JAZZ,240,42,83,6,16,18,22,12,22,25,8,3,12,21
