team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
OKLAHOMA CITY THUNDER,240,44,89,10,22,24,34,13,31,30,13,6,13,27
BROOKLYN NETS,240,33,71,12,24,26,30,4,28,20,6,6,18,23
DETROIT PISTONS,240,37,99,4,19,18,19,16,29,20,6,1,8,19
CLEVELAND CAVALIERS,240,46,77,19,30,17,23,3,38,29,4,3,9,18
PHILADELPHIA 76ERS,240,39,89,8,27,18,27,13,39,28,10,10,21,26
GOLDEN STATE WARRIORS,240,32,88,14,32,28,35,13,30,24,12,11,18,24
PORTLAND TRAIL BLAZERS,240,23,76,11,32,20,26,8,40,13,3,1,16,20
NEW ORLEANS PELICANS,240,38,80,6,21,18,30,4,45,19,10,8,5,18
INDIANA PACERS,240,32,87,8,29,9,15,14,39,16,6,3,16,14
NEW YORK KNICKS,240,35,83,9,28,8,13,11,41,21,8,4,14,15
