team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
OKLAHOMA CITY THUNDER,240,36,84,9,25,19,20,13,39,20,8,12,15,16
ATLANTA HAWKS,240,36,94,9,24,11,17,14,30,21,11,6,11,19
CLEVELAND CAVALIERS,240,36,88,5,18,14,21,13,22,16,7,2,9,22
BOSTON CELTICS,240,37,62,9,17,20,27,2,33,23,9,7,14,24
PHILADELPHIA 76ERS,240,40,89,6,17,17,24,14,25,21,6,3,11,21
HOUSTON ROCKETS,240,42,75,11,27,30,36,7,34,29,4,3,10,20
UTAH JAZZ,240,32,86,2,15,18,25,16,32,19,4,6,15,23
INDIANA PACERS,240,41,80,9,16,13,18,6,31,21,7,8,15,26
NEW ORLEANS HORNETS,240,29,75,2,19,17,22,14,28,15,3,5,20,18
LOS ANGELES CLIPPERS,240,37,74,4,20,15,19,9,28,28,8,7,12,21
MILWAUKEE BUCKS,240,30,85,5,20,15,19,11,33,11,10,5,16,19
MEMPHIS GRIZZLIES,240,36,88,3,8,15,19,17,39,26,11,6,16,17
BROOKLYN NETS,240,35,78,10,25,6,9,10,28,19,3,2,12,16
NEW YORK KNICKS,240,38,83,11,29,13,17,11,28,19,7,5,7,11
WASHINGTON WIZARDS,240,34,77,9,17,6,8,5,33,20,5,5,15,21
ORLANDO MAGIC,240,34,81,8,20,14,17,10,38,18,11,3,13,12
CHARLOTTE BOBCATS,240,40,86,6,10,18,22,15,27,19,6,4,15,11
PHOENIX SUNS,240,47,85,17,28,10,11,10,23,31,7,6,11,22
GOLDEN STATE WARRIORS,240,46,92,13,26,22,25,14,28,21,4,6,12,27
SACRAMENTO KINGS,240,43,86,11,19,34,42,11,29,25,7,7,9,18
DETROIT PISTONS,240,35,84,3,12,18,30,22,22,15,4,2,10,19
TORONTO RAPTORS,240,35,72,10,29,17,22,9,24,26,5,6,6,24
