team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SAN ANTONIO SPURS,240,36,74,10,20,21,22,6,43,26,11,2,23,16
ATLANTA HAWKS,240,30,80,5,24,13,16,7,26,21,15,3,17,15
LOS ANGELES CLIPPERS,240,43,86,8,24,11,18,7,33,28,12,0,12,21
BROOKLYN NETS,240,35,79,5,19,25,30,12,34,17,5,2,16,22
NEW ORLEANS PELICANS,240,40,89,6,16,8,11,5,36,26,9,6,10,22
CHICAGO BULLS,240,33,78,8,20,24,29,7,41,17,6,6,13,10
BOSTON CELTICS,240,40,96,9,25,9,10,3,39,26,5,5,5,13
CHARLOTTE HORNETS,240,36,88,11,35,10,10,7,45,17,1,5,11,12
WASHINGTON WIZARDS,240,44,85,14,29,12,15,4,35,33,6,6,13,22
DALLAS MAVERICKS,240,38,89,14,33,21,24,11,35,23,5,3,12,12
INDIANA PACERS,240,41,82,3,16,11,18,5,28,17,7,2,16,16
DETROIT PISTONS,240,45,90,13,29,15,19,10,36,26,11,6,14,18
LOS ANGELES LAKERS,240,35,88,10,32,17,20,11,29,21,11,4,19,23
HOUSTON ROCKETS,240,47,90,15,33,17,28,15,37,32,16,7,16,15
GOLDEN STATE WARRIORS,240,36,89,6,27,17,25,15,34,23,9,8,16,20
MILWAUKEE BUCKS,240,44,90,6,14,14,18,8,36,31,12,4,16,24
NEW YORK KNICKS,240,39,75,9,21,25,28,7,27,17,3,3,11,22
PORTLAND TRAIL BLAZERS,240,41,89,6,21,22,29,14,25,15,4,0,7,22
